temparature,humidity,moisture,soil_type,crop_type,nitrogen,potassium,phosphorous,fertilizer_name
33.88,59.02,35.32,Clayey,Sugarcane,11,4,27,DAP
24.38,52.09,25.67,Loamy,Sugarcane,13,10,26,28-28
30.86,66.38,42.56,Clayey,Sugarcane,15,0,41,14-35-14
25.71,49.13,33.26,Sandy,Sugarcane,5,10,31,14-35-14
34.7,66.76,69.2,Loamy,Sugarcane,7,14,16,20-20
31.74,62.32,52.3,Loamy,Sugarcane,6,4,40,Urea
38.25,74.83,48.66,Clayey,Sugarcane,36,0,3,17-17-17
29.97,58.25,31.86,Loamy,Sugarcane,38,0,0,28-28
30.69,59.44,51.07,Sandy,Sugarcane,26,0,17,10-26-26
27.05,44.74,56.64,Red,Sugarcane,11,0,4,10-26-26
39.33,67.44,37.85,Loamy,Sugarcane,7,0,37,14-35-14
34.51,52.14,70.0,Clayey,Sugarcane,4,11,26,28-28
35.66,54.44,42.29,Loamy,Sugarcane,26,0,18,17-17-17
26.79,62.91,25.01,Loamy,Sugarcane,14,0,35,DAP
35.57,60.63,45.71,Black,Sugarcane,7,4,31,14-35-14
33.88,68.15,42.03,Sandy,Sugarcane,9,12,32,28-28
40.0,71.79,58.99,Black,Sugarcane,19,1,39,14-35-14
36.2,55.53,54.66,Clayey,Sugarcane,12,1,37,10-26-26
21.94,46.3,27.7,Loamy,Sugarcane,10,0,14,14-35-14
33.32,71.88,37.86,Loamy,Sugarcane,8,4,32,20-20
32.33,48.88,31.39,Black,Sugarcane,32,2,0,DAP
34.51,54.23,48.09,Loamy,Sugarcane,21,0,23,DAP
36.35,69.02,43.17,Loamy,Sugarcane,11,14,18,28-28
40.0,78.86,52.13,Clayey,Sugarcane,10,9,28,17-17-17
26.7,52.31,61.77,Clayey,Sugarcane,10,6,29,DAP
31.77,57.58,49.46,Sandy,Sugarcane,10,0,11,20-20
25.43,50.72,42.78,Clayey,Sugarcane,44,0,2,Urea
22.95,47.87,42.49,Red,Sugarcane,7,14,17,14-35-14
24.2,63.32,30.41,Red,Sugarcane,14,21,16,17-17-17
30.96,57.8,42.72,Red,Sugarcane,39,3,0,14-35-14
27.06,58.24,46.67,Sandy,Sugarcane,7,13,11,20-20
33.86,61.51,60.88,Loamy,Sugarcane,9,5,28,10-26-26
27.0,61.54,48.67,Sandy,Sugarcane,22,0,23,17-17-17
30.67,67.01,70.0,Loamy,Sugarcane,9,0,36,28-28
26.3,56.35,38.58,Loamy,Sugarcane,39,0,2,14-35-14
31.67,71.83,25.15,Sandy,Sugarcane,42,0,0,20-20
32.67,66.69,70.0,Red,Sugarcane,14,7,16,Urea
34.72,55.96,37.9,Sandy,Sugarcane,9,1,18,10-26-26
29.35,51.42,70.0,Red,Sugarcane,37,0,0,28-28
22.5,43.53,24.16,Loamy,Sugarcane,38,0,0,10-26-26
28.83,64.74,44.66,Red,Sugarcane,39,0,0,28-28
23.59,48.13,28.61,Sandy,Sugarcane,40,0,1,DAP
24.99,61.19,45.63,Black,Sugarcane,8,9,26,28-28
25.92,59.83,38.31,Red,Sugarcane,5,0,7,14-35-14
35.0,75.25,35.02,Loamy,Sugarcane,12,0,10,17-17-17
33.8,58.42,63.96,Clayey,Sugarcane,10,2,41,10-26-26
40.0,75.07,38.95,Clayey,Sugarcane,17,2,18,17-17-17
32.22,60.78,34.61,Red,Sugarcane,6,11,31,17-17-17
32.52,64.65,24.55,Sandy,Sugarcane,21,0,24,14-35-14
26.39,58.76,26.14,Clayey,Sugarcane,39,0,0,Urea
34.96,53.85,35.07,Sandy,Sugarcane,42,1,0,28-28
37.24,59.51,60.24,Black,Sugarcane,8,4,26,10-26-26
33.19,62.06,52.48,Sandy,Sugarcane,12,13,8,14-35-14
34.27,61.65,38.7,Loamy,Sugarcane,19,0,25,DAP
27.91,57.81,37.13,Clayey,Sugarcane,20,0,20,28-28
30.4,55.73,55.43,Sandy,Sugarcane,34,1,0,14-35-14
27.58,61.82,63.26,Sandy,Sugarcane,15,3,39,14-35-14
24.53,51.09,51.48,Sandy,Sugarcane,13,0,40,14-35-14
24.63,53.02,36.99,Loamy,Sugarcane,24,1,18,DAP
29.22,51.42,31.77,Loamy,Sugarcane,36,4,0,10-26-26
30.77,60.08,39.33,Black,Sugarcane,19,0,22,10-26-26
35.41,55.99,30.99,Loamy,Sugarcane,14,0,34,20-20
25.58,54.13,29.55,Black,Sugarcane,9,0,5,20-20
29.78,57.79,45.7,Clayey,Sugarcane,7,9,29,10-26-26
27.09,53.92,37.19,Loamy,Sugarcane,22,0,28,DAP
26.43,60.25,35.78,Sandy,Sugarcane,15,2,36,20-20
27.58,42.95,54.69,Sandy,Sugarcane,9,0,4,10-26-26
34.13,69.91,26.15,Sandy,Sugarcane,4,6,27,Urea
32.86,61.11,38.13,Black,Sugarcane,25,0,18,DAP
31.2,50.88,26.64,Red,Sugarcane,46,0,0,DAP
35.31,77.47,46.4,Clayey,Sugarcane,6,11,29,28-28
29.37,58.44,44.49,Black,Sugarcane,28,0,21,10-26-26
30.29,69.78,31.58,Black,Sugarcane,15,0,36,17-17-17
29.11,66.22,57.05,Black,Sugarcane,15,15,14,28-28
24.78,56.42,25.51,Clayey,Sugarcane,14,13,10,17-17-17
29.83,64.29,45.68,Black,Sugarcane,16,0,13,20-20
33.64,62.64,37.52,Red,Sugarcane,9,0,42,20-20
33.57,54.09,68.48,Black,Sugarcane,8,9,26,28-28
29.42,72.78,42.89,Clayey,Sugarcane,39,2,0,20-20
27.19,46.21,27.99,Loamy,Sugarcane,28,0,16,14-35-14
34.4,70.85,53.05,Black,Sugarcane,12,12,13,20-20
23.28,45.27,43.77,Sandy,Sugarcane,19,0,21,14-35-14
28.54,55.75,38.08,Clayey,Sugarcane,25,4,18,10-26-26
33.35,71.63,38.11,Loamy,Sugarcane,14,2,38,DAP
29.13,53.38,49.08,Red,Sugarcane,10,8,9,DAP
28.86,73.5,29.53,Black,Sugarcane,41,3,0,28-28
34.57,55.72,20.0,Loamy,Sugarcane,10,11,29,14-35-14
27.41,56.77,45.73,Clayey,Sugarcane,12,4,31,28-28
35.61,68.63,70.0,Red,Sugarcane,25,0,15,28-28
28.38,51.28,61.42,Sandy,Sugarcane,37,2,3,20-20
39.15,68.25,46.6,Loamy,Sugarcane,42,0,1,17-17-17
24.88,43.56,53.5,Sandy,Sugarcane,14,0,19,28-28
37.05,69.22,44.58,Black,Sugarcane,11,20,20,17-17-17
29.86,50.94,70.0,Sandy,Sugarcane,12,0,32,28-28
29.59,65.88,21.2,Sandy,Sugarcane,40,2,1,20-20
25.08,45.08,31.07,Clayey,Sugarcane,5,23,14,14-35-14
27.1,55.35,36.61,Black,Sugarcane,25,0,15,28-28
33.21,64.79,31.54,Clayey,Sugarcane,3,0,17,20-20
24.49,51.98,67.62,Clayey,Sugarcane,34,0,0,14-35-14
24.78,59.94,49.61,Clayey,Sugarcane,38,0,3,28-28
28.99,56.86,47.2,Red,Sugarcane,19,0,22,DAP
29.95,61.65,70.0,Loamy,Sugarcane,9,5,31,20-20
40.0,58.41,25.99,Clayey,Sugarcane,16,0,16,DAP
32.53,66.27,24.96,Red,Sugarcane,24,0,22,14-35-14
27.71,61.57,28.73,Loamy,Sugarcane,14,18,12,17-17-17
33.4,49.71,50.01,Clayey,Sugarcane,25,4,20,20-20
23.18,59.48,46.95,Sandy,Sugarcane,22,0,23,Urea
29.39,52.92,44.26,Red,Sugarcane,14,0,11,10-26-26
30.08,70.01,35.0,Clayey,Sugarcane,22,0,17,20-20
29.58,55.83,32.4,Sandy,Sugarcane,45,1,2,17-17-17
26.25,56.03,69.41,Sandy,Sugarcane,7,7,16,10-26-26
31.87,61.74,41.71,Sandy,Sugarcane,8,1,10,Urea
26.47,52.11,39.99,Black,Sugarcane,10,2,9,DAP
25.28,45.69,24.19,Loamy,Sugarcane,38,0,0,17-17-17
22.27,40.25,63.8,Clayey,Sugarcane,12,2,11,10-26-26
30.45,57.02,53.78,Sandy,Sugarcane,13,3,35,17-17-17
32.13,55.38,43.65,Black,Sugarcane,23,0,16,Urea
32.77,60.55,61.77,Clayey,Sugarcane,3,10,28,20-20
22.05,52.83,36.27,Red,Sugarcane,14,4,45,20-20
36.17,70.81,32.25,Clayey,Sugarcane,12,0,35,17-17-17
28.12,49.45,37.57,Sandy,Sugarcane,18,2,16,DAP
25.3,50.39,29.86,Red,Sugarcane,7,13,15,10-26-26
35.61,69.21,45.08,Clayey,Sugarcane,26,0,17,10-26-26
28.61,59.13,22.9,Clayey,Sugarcane,37,0,1,10-26-26
34.71,54.61,40.22,Clayey,Sugarcane,14,4,4,DAP
22.65,53.84,38.27,Sandy,Sugarcane,19,0,17,10-26-26
30.17,60.55,43.86,Clayey,Sugarcane,10,12,16,17-17-17
36.73,55.27,32.64,Loamy,Sugarcane,20,2,22,Urea
33.97,70.45,35.84,Sandy,Sugarcane,8,1,36,Urea
32.51,57.48,30.67,Sandy,Sugarcane,12,0,17,28-28
31.35,59.91,24.9,Black,Sugarcane,15,13,12,28-28
32.53,62.34,30.4,Clayey,Sugarcane,40,0,0,10-26-26
29.13,73.22,52.98,Black,Sugarcane,41,2,1,20-20
28.23,56.74,28.06,Clayey,Sugarcane,37,2,0,20-20
23.37,45.91,67.84,Sandy,Sugarcane,40,0,0,20-20
26.83,54.4,41.76,Loamy,Sugarcane,40,0,3,20-20
33.15,58.53,32.29,Loamy,Sugarcane,3,7,34,DAP
27.09,50.45,54.43,Loamy,Sugarcane,11,10,36,Urea
29.32,66.28,55.01,Loamy,Sugarcane,11,0,12,10-26-26
35.11,67.01,48.64,Black,Sugarcane,9,3,32,14-35-14
34.13,59.23,63.23,Loamy,Sugarcane,5,6,29,Urea
26.0,66.36,26.96,Clayey,Sugarcane,13,12,18,14-35-14
31.31,48.85,25.68,Black,Sugarcane,30,1,4,28-28
32.51,67.8,42.49,Black,Sugarcane,14,0,41,17-17-17
30.67,59.09,30.58,Red,Sugarcane,37,4,3,20-20
29.26,60.28,34.61,Loamy,Sugarcane,45,0,3,28-28
35.64,76.74,55.07,Loamy,Sugarcane,35,4,0,DAP
32.84,62.04,32.05,Sandy,Sugarcane,15,0,13,17-17-17
36.25,60.68,42.98,Black,Sugarcane,6,8,28,17-17-17
37.18,70.69,58.98,Red,Sugarcane,36,1,0,20-20
29.84,42.95,34.38,Clayey,Sugarcane,10,13,19,14-35-14
33.03,50.75,42.07,Loamy,Sugarcane,12,0,33,17-17-17
26.89,51.17,70.0,Clayey,Sugarcane,37,3,4,10-26-26
34.49,54.23,21.17,Black,Sugarcane,16,1,38,DAP
24.05,56.01,29.3,Red,Sugarcane,14,18,12,10-26-26
33.34,61.94,32.31,Black,Sugarcane,8,0,32,17-17-17
24.0,49.02,37.37,Clayey,Sugarcane,11,0,13,DAP
29.13,43.28,36.14,Black,Sugarcane,39,0,4,14-35-14
27.8,44.81,22.17,Red,Sugarcane,14,1,45,17-17-17
35.41,69.11,70.0,Clayey,Sugarcane,4,9,25,10-26-26
27.79,62.14,30.06,Red,Sugarcane,7,10,25,10-26-26
28.8,49.98,58.83,Black,Sugarcane,14,10,17,20-20
24.1,63.6,25.87,Clayey,Sugarcane,9,3,9,14-35-14
37.79,62.57,61.86,Clayey,Sugarcane,13,1,41,20-20
35.83,76.88,66.33,Red,Sugarcane,13,0,40,14-35-14
36.49,74.83,63.59,Red,Sugarcane,37,3,0,28-28
32.87,59.11,59.71,Clayey,Sugarcane,10,0,14,Urea
22.72,50.47,51.87,Black,Sugarcane,9,17,11,DAP
31.85,56.67,68.54,Sandy,Sugarcane,10,11,15,10-26-26
39.16,75.73,34.03,Black,Sugarcane,12,3,31,14-35-14
31.55,52.46,20.0,Sandy,Sugarcane,9,4,42,17-17-17
29.09,53.7,30.89,Red,Sugarcane,45,0,0,Urea
29.28,54.11,33.43,Loamy,Sugarcane,12,4,35,Urea
32.14,67.16,57.06,Clayey,Sugarcane,17,0,36,10-26-26
24.53,59.27,42.34,Clayey,Sugarcane,27,0,28,28-28
37.56,61.34,62.16,Black,Sugarcane,7,0,9,10-26-26
39.46,69.85,20.0,Red,Sugarcane,9,7,33,Urea
28.54,63.37,52.98,Clayey,Sugarcane,3,12,27,17-17-17
37.83,62.2,38.9,Red,Sugarcane,16,1,36,DAP
40.0,79.99,35.61,Loamy,Sugarcane,7,0,38,10-26-26
33.2,53.06,64.27,Sandy,Sugarcane,12,8,33,14-35-14
32.61,63.84,45.4,Black,Sugarcane,21,2,14,10-26-26
31.05,52.85,37.01,Clayey,Sugarcane,15,2,38,17-17-17
29.6,70.57,54.2,Black,Sugarcane,21,4,21,14-35-14
24.51,46.17,65.49,Sandy,Sugarcane,42,2,0,10-26-26
29.8,52.93,39.95,Black,Sugarcane,18,2,19,DAP
33.53,68.45,31.56,Red,Sugarcane,39,0,1,17-17-17
29.54,60.61,54.07,Loamy,Sugarcane,12,11,34,DAP
36.48,63.87,20.37,Sandy,Sugarcane,34,0,0,Urea
32.23,54.15,54.33,Red,Sugarcane,20,0,19,DAP
29.19,61.81,48.68,Clayey,Sugarcane,7,1,8,17-17-17
32.32,58.02,68.23,Sandy,Sugarcane,13,0,34,10-26-26
28.86,61.44,55.03,Clayey,Sugarcane,12,14,18,20-20
35.97,56.08,39.97,Black,Sugarcane,24,0,28,14-35-14
28.75,45.15,32.3,Clayey,Sugarcane,4,14,15,20-20
26.43,45.04,30.14,Black,Sugarcane,10,2,43,DAP
33.98,51.19,32.23,Red,Sugarcane,13,5,30,Urea
27.73,53.14,25.75,Clayey,Sugarcane,5,10,32,28-28
24.14,45.84,44.84,Black,Sugarcane,7,22,14,20-20
23.0,55.77,37.58,Clayey,Sugarcane,25,0,20,17-17-17
31.17,69.37,43.42,Sandy,Sugarcane,20,4,26,20-20
29.6,51.91,43.03,Sandy,Sugarcane,36,0,0,10-26-26
31.32,65.36,47.86,Black,Sugarcane,6,7,25,28-28
23.32,60.72,41.52,Loamy,Sugarcane,21,0,23,Urea
31.91,64.57,48.22,Sandy,Sugarcane,16,19,9,28-28
31.27,70.01,49.6,Red,Sugarcane,10,16,23,10-26-26
30.54,60.14,32.76,Clayey,Sugarcane,26,0,26,14-35-14
35.61,66.92,54.5,Clayey,Sugarcane,44,0,0,DAP
31.51,69.17,49.11,Red,Sugarcane,2,6,33,17-17-17
32.45,52.61,41.79,Loamy,Sugarcane,13,9,22,28-28
38.52,65.09,55.29,Black,Sugarcane,37,0,1,17-17-17
22.94,55.21,33.2,Black,Sugarcane,21,0,26,DAP
32.08,56.04,57.99,Sandy,Sugarcane,4,10,32,14-35-14
32.77,65.31,56.5,Loamy,Sugarcane,21,0,23,10-26-26
32.3,62.68,41.53,Clayey,Sugarcane,11,2,10,10-26-26
29.07,58.16,32.93,Clayey,Sugarcane,15,0,42,Urea
34.84,63.19,45.19,Red,Sugarcane,38,1,2,10-26-26
35.04,69.13,59.45,Black,Sugarcane,14,14,13,10-26-26
36.75,59.8,37.97,Black,Sugarcane,21,0,23,17-17-17
32.84,66.47,69.01,Red,Sugarcane,12,5,35,Urea
26.02,52.58,39.77,Red,Sugarcane,41,0,3,14-35-14
34.45,61.44,70.0,Red,Sugarcane,13,12,24,DAP
27.83,60.88,29.59,Red,Sugarcane,40,2,3,14-35-14
27.67,45.92,36.55,Loamy,Sugarcane,32,1,0,20-20
25.37,50.94,25.52,Black,Sugarcane,3,14,20,14-35-14
29.73,44.95,36.64,Clayey,Sugarcane,10,0,38,Urea
24.3,53.62,60.71,Clayey,Sugarcane,9,2,35,10-26-26
28.02,43.47,37.43,Black,Sugarcane,33,0,2,28-28
33.47,62.71,36.43,Loamy,Sugarcane,17,0,39,Urea
30.68,66.46,37.19,Red,Sugarcane,17,0,38,17-17-17
32.99,50.56,44.4,Clayey,Sugarcane,4,15,14,14-35-14
37.62,54.26,47.98,Red,Sugarcane,8,0,8,17-17-17
31.47,64.11,65.21,Black,Sugarcane,13,3,28,20-20
23.45,48.04,34.71,Loamy,Sugarcane,33,4,1,14-35-14
32.33,75.18,40.55,Black,Sugarcane,14,19,23,10-26-26
32.86,65.21,45.16,Sandy,Sugarcane,26,0,21,DAP
23.91,43.52,39.54,Black,Sugarcane,34,2,0,17-17-17
29.95,68.13,38.6,Red,Sugarcane,21,0,15,DAP
29.77,63.09,47.01,Red,Sugarcane,21,1,17,17-17-17
20.03,52.64,70.0,Sandy,Sugarcane,13,0,13,20-20
30.58,57.79,62.55,Loamy,Sugarcane,12,4,38,20-20
34.03,59.52,31.77,Red,Sugarcane,41,0,0,10-26-26
30.94,58.19,66.53,Red,Sugarcane,21,0,21,17-17-17
22.79,44.82,36.75,Clayey,Sugarcane,20,0,22,DAP
33.65,61.98,34.79,Red,Sugarcane,40,2,0,Urea
24.5,55.97,58.19,Loamy,Sugarcane,43,2,0,10-26-26
30.53,61.98,28.75,Black,Sugarcane,13,4,38,Urea
32.76,74.84,69.17,Red,Sugarcane,11,5,29,28-28
27.88,53.3,39.79,Clayey,Sugarcane,15,0,32,28-28
36.39,77.53,52.2,Red,Sugarcane,40,2,0,28-28
29.18,66.16,70.0,Clayey,Sugarcane,9,12,33,10-26-26
35.48,60.05,46.78,Black,Sugarcane,5,11,13,17-17-17
34.39,54.77,35.05,Clayey,Sugarcane,17,0,35,Urea
38.35,68.02,65.33,Red,Sugarcane,18,3,41,DAP
25.59,65.45,43.71,Clayey,Sugarcane,12,2,11,17-17-17
31.66,64.62,44.32,Loamy,Sugarcane,17,4,26,Urea
24.96,46.72,36.73,Red,Sugarcane,25,0,23,DAP
33.46,62.44,56.11,Sandy,Sugarcane,22,0,21,Urea
22.15,60.48,34.02,Loamy,Sugarcane,33,0,0,28-28
37.35,58.34,47.42,Clayey,Sugarcane,36,0,0,Urea
33.96,65.91,53.47,Black,Sugarcane,6,15,16,10-26-26
38.51,73.59,59.59,Clayey,Sugarcane,16,14,23,17-17-17
39.52,75.51,62.39,Sandy,Sugarcane,13,0,43,14-35-14
25.98,52.5,64.54,Sandy,Sugarcane,15,1,6,17-17-17
32.22,66.16,25.02,Red,Sugarcane,13,1,36,17-17-17
26.75,50.01,47.53,Loamy,Sugarcane,13,12,13,Urea
27.22,51.42,53.92,Red,Sugarcane,11,2,37,DAP
31.43,54.36,22.99,Loamy,Sugarcane,8,0,43,DAP
32.51,61.04,31.07,Red,Sugarcane,9,0,38,Urea
33.84,54.6,41.99,Red,Sugarcane,19,0,16,DAP
25.55,50.51,49.12,Clayey,Sugarcane,25,0,23,DAP
34.81,63.81,20.0,Clayey,Sugarcane,13,3,40,28-28
28.62,54.16,37.37,Red,Sugarcane,19,0,19,17-17-17
27.54,62.3,34.0,Black,Sugarcane,27,1,25,10-26-26
24.13,62.11,20.0,Loamy,Sugarcane,17,0,43,DAP
31.69,58.0,68.66,Red,Sugarcane,11,13,34,17-17-17
25.73,62.59,36.32,Sandy,Sugarcane,31,0,0,Urea
25.55,48.32,39.01,Loamy,Sugarcane,9,8,19,10-26-26
34.91,63.17,38.77,Black,Sugarcane,12,0,9,14-35-14
31.74,56.28,31.1,Red,Sugarcane,37,0,0,14-35-14
26.51,50.69,57.11,Sandy,Sugarcane,8,0,36,DAP
31.1,63.92,36.28,Clayey,Sugarcane,6,9,22,Urea
35.93,65.09,36.26,Red,Sugarcane,13,2,36,14-35-14
29.69,56.63,36.01,Sandy,Sugarcane,43,0,0,28-28
30.73,63.13,53.36,Clayey,Sugarcane,14,13,14,14-35-14
32.7,69.18,36.19,Black,Sugarcane,26,0,21,28-28
23.13,55.8,33.99,Loamy,Sugarcane,43,0,0,20-20
23.74,54.65,41.61,Red,Sugarcane,19,0,21,17-17-17
32.75,65.56,34.53,Red,Sugarcane,11,3,9,10-26-26
37.26,69.8,44.45,Red,Sugarcane,18,0,42,10-26-26
27.4,63.02,52.99,Black,Sugarcane,8,8,27,10-26-26
28.58,59.41,34.2,Black,Sugarcane,34,0,0,28-28
23.87,62.47,29.22,Loamy,Sugarcane,45,0,2,Urea
31.94,59.91,47.92,Black,Sugarcane,9,19,19,20-20
30.64,51.42,38.91,Black,Sugarcane,37,0,0,10-26-26
33.34,69.09,26.48,Black,Sugarcane,23,4,25,28-28
33.49,67.08,35.44,Sandy,Sugarcane,14,2,32,28-28
24.25,54.71,65.01,Red,Sugarcane,42,0,0,14-35-14
31.81,70.43,57.66,Loamy,Sugarcane,5,12,9,DAP
28.93,58.65,20.0,Loamy,Sugarcane,13,2,37,20-20
30.69,63.98,42.43,Sandy,Sugarcane,34,0,4,20-20
30.14,64.68,59.96,Sandy,Sugarcane,14,0,40,DAP
35.64,65.52,26.3,Loamy,Sugarcane,14,4,34,20-20
25.96,58.08,31.11,Red,Sugarcane,15,3,38,DAP
33.83,53.28,46.07,Loamy,Sugarcane,16,0,6,DAP
29.43,72.23,62.55,Sandy,Sugarcane,38,0,4,DAP
26.55,45.87,28.29,Loamy,Sugarcane,31,0,2,14-35-14
33.86,58.35,43.35,Sandy,Sugarcane,41,4,1,Urea
29.71,61.87,54.45,Sandy,Sugarcane,31,4,1,17-17-17
26.97,65.25,21.35,Red,Sugarcane,11,6,31,DAP
33.2,73.6,53.85,Sandy,Sugarcane,21,0,19,20-20
37.53,70.73,37.05,Loamy,Sugarcane,36,0,2,Urea
34.44,71.0,29.79,Loamy,Sugarcane,13,0,38,28-28
26.62,54.93,36.24,Loamy,Sugarcane,22,0,22,28-28
39.45,64.39,43.62,Clayey,Sugarcane,16,3,42,14-35-14
26.15,51.15,60.56,Sandy,Sugarcane,15,0,13,Urea
34.0,62.86,45.13,Clayey,Sugarcane,9,0,10,DAP
35.78,52.73,32.13,Sandy,Sugarcane,23,2,19,10-26-26
32.29,63.71,48.26,Loamy,Sugarcane,8,17,18,20-20
31.14,60.35,52.46,Sandy,Sugarcane,14,0,11,20-20
32.35,50.94,60.56,Clayey,Sugarcane,14,2,34,Urea
31.14,73.75,31.4,Clayey,Sugarcane,11,3,17,10-26-26
23.78,50.25,44.26,Sandy,Sugarcane,44,0,3,20-20
24.25,58.48,37.87,Black,Sugarcane,10,12,20,Urea
31.04,58.13,57.29,Clayey,Sugarcane,10,2,16,17-17-17
31.21,63.59,39.81,Black,Sugarcane,24,2,32,17-17-17
28.54,61.73,53.85,Clayey,Sugarcane,14,0,5,10-26-26
32.87,75.67,28.54,Clayey,Sugarcane,3,9,34,Urea
25.45,46.24,30.1,Sandy,Sugarcane,7,14,12,10-26-26
30.75,57.34,38.18,Black,Sugarcane,34,0,0,28-28
26.24,42.54,70.0,Sandy,Sugarcane,38,0,2,14-35-14
30.16,73.4,62.27,Clayey,Sugarcane,33,3,2,14-35-14
28.98,57.19,43.18,Sandy,Sugarcane,43,3,1,20-20
32.57,69.05,45.35,Black,Sugarcane,13,3,9,28-28
33.5,62.28,32.37,Red,Sugarcane,22,0,21,20-20
27.97,53.64,28.44,Black,Sugarcane,7,3,32,17-17-17
24.34,54.43,66.95,Red,Sugarcane,8,2,42,20-20
23.82,62.55,43.11,Loamy,Sugarcane,3,13,12,10-26-26
23.44,49.3,63.03,Loamy,Sugarcane,10,0,10,28-28
36.13,73.48,70.0,Loamy,Sugarcane,10,0,38,Urea
31.06,53.58,33.37,Black,Sugarcane,9,4,30,Urea
32.54,58.92,43.95,Black,Sugarcane,34,0,0,28-28
22.43,56.08,31.03,Red,Sugarcane,39,3,4,28-28
27.3,53.57,30.09,Black,Sugarcane,36,0,2,DAP
31.4,53.31,38.96,Loamy,Sugarcane,8,2,32,10-26-26
28.56,61.95,35.05,Red,Sugarcane,26,0,21,10-26-26
37.31,76.05,41.17,Loamy,Sugarcane,11,12,31,17-17-17
29.25,63.08,52.62,Black,Sugarcane,21,4,29,28-28
34.1,57.5,52.38,Red,Sugarcane,10,0,41,DAP
30.37,53.97,39.69,Black,Sugarcane,14,1,38,10-26-26
25.54,55.47,43.59,Black,Sugarcane,27,0,21,DAP
34.66,67.58,55.82,Clayey,Sugarcane,13,0,12,20-20
36.18,57.1,69.39,Black,Sugarcane,17,0,34,14-35-14
35.4,71.15,68.71,Black,Sugarcane,25,0,19,DAP
30.02,45.23,32.68,Sandy,Sugarcane,35,0,0,28-28
34.35,63.85,55.26,Loamy,Sugarcane,36,0,1,DAP
32.69,64.23,53.47,Clayey,Sugarcane,3,17,18,DAP
21.15,51.19,29.68,Red,Sugarcane,13,14,10,28-28
34.09,70.6,61.54,Loamy,Sugarcane,15,0,43,DAP
29.46,63.38,62.2,Black,Sugarcane,13,0,11,10-26-26
35.2,68.47,37.24,Sandy,Sugarcane,12,2,37,10-26-26
25.38,47.27,38.73,Sandy,Sugarcane,27,0,17,20-20
23.94,52.75,22.5,Red,Sugarcane,11,0,7,17-17-17
34.74,69.51,46.51,Red,Sugarcane,9,22,21,10-26-26
25.21,53.68,31.32,Loamy,Sugarcane,25,0,21,10-26-26
36.68,51.39,43.94,Red,Sugarcane,13,0,37,Urea
25.16,49.77,36.67,Loamy,Sugarcane,10,14,17,Urea
35.75,65.56,56.3,Loamy,Sugarcane,11,0,37,14-35-14
36.84,69.25,34.94,Clayey,Sugarcane,16,4,18,10-26-26
23.21,61.42,38.75,Red,Sugarcane,9,1,10,Urea
