date,farm_id,farm_name,latitude,longitude,altitude,farm_rotun,planting_cycle,growth_stage,rotun_tebu,temperature,light_intensity,relative_humidity,precipitation,variety,ndvi_l8,gndvi_l8,ndwi_l8,mcari_l8,rvi_l8,dvi_l8,evi_l8,savi_l8,ndvi_s2,gndvi_s2,ndwi_s2,ndre_s2,reci_s2,ccci_s2,rvi_s2,dvi_s2,evi_s2,savi_s2,wdrvi_s2,ndvi_fusion,gndvi_fusion,ndwi_fusion,rvi_fusion,dvi_fusion,evi_fusion,savi_fusion,temp_humidity_interaction,water_stress_index,climate_index,ketinggian_tebu,vegetation_health_l8,vegetation_health_s2,vegetation_health_fusion,ndvi_temp_l8,ndvi_temp_s2,ndvi_temp_fusion
2022-03-12,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,28.4,15.4,80.2,3.7,1,0.509,0.505,0.03,1.002,2.1,0.168,0.4,0.427,0.538,0.491,0.023,0.311,2.434,1.023,3.498,0.199,0.417,0.505,0.088,0.527,0.497,0.026,2.939,0.187,0.41,0.473,22.79,0.127,0.452,66.8,0.445333333,0.486666667,0.47,14.4556,15.2792,14.9668
2022-03-19,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,26.0,15.5,76.7,22.3,1,0.568,0.523,0.09,1.101,3.303,0.192,0.448,0.499,0.564,0.532,0.095,0.303,2.357,1.31,3.482,0.214,0.442,0.508,0.102,0.565,0.528,0.093,3.411,0.205,0.444,0.504,19.94,0.827,0.432,76.8,0.505,0.504666667,0.504333333,14.768,14.664,14.69
2022-03-26,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,25.9,14.6,80.4,21.0,1,0.546,0.547,0.117,1.102,3.556,0.191,0.457,0.483,0.556,0.546,0.118,0.326,2.003,1.569,3.004,0.196,0.484,0.527,0.098,0.552,0.546,0.117,3.225,0.194,0.473,0.509,20.84,0.779,0.443,87.6,0.495333333,0.522333333,0.511333333,14.1414,14.4004,14.2968
2022-04-02,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,27.2,13.3,77.2,28.6,1,0.545,0.525,0.12,0.991,2.916,0.193,0.443,0.478,0.543,0.528,0.098,0.282,2.008,1.211,3.298,0.213,0.467,0.496,0.085,0.544,0.527,0.108,3.145,0.205,0.457,0.489,21.0,1.015,0.43,98.1,0.488666667,0.502,0.496666667,14.824,14.7696,14.7968
2022-04-09,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,27.2,13.7,87.3,16.9,1,0.571,0.562,0.104,1.025,3.294,0.2,0.46,0.494,0.576,0.567,0.126,0.341,2.622,1.161,3.532,0.215,0.527,0.514,0.081,0.574,0.565,0.116,3.437,0.209,0.5,0.506,23.72,0.598,0.472,109.6,0.508333333,0.539,0.526666667,15.5312,15.6672,15.6128
2022-04-16,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,24.6,14.8,77.8,13.2,1,0.567,0.559,0.037,1.2,3.57,0.194,0.402,0.544,0.57,0.571,0.013,0.307,2.185,1.277,3.183,0.216,0.441,0.521,0.094,0.569,0.566,0.024,3.338,0.207,0.425,0.53,19.14,0.515,0.429,120.9,0.504333333,0.510666667,0.508,13.9482,14.022,13.9974
2022-04-23,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,28.0,14.4,81.0,8.4,1,0.627,0.614,0.102,1.107,3.986,0.237,0.494,0.589,0.642,0.628,0.088,0.358,2.482,1.078,3.201,0.221,0.52,0.605,0.133,0.636,0.622,0.094,3.515,0.228,0.509,0.598,22.65,0.29,0.451,133.9,0.57,0.589,0.581,17.556,17.976,17.808
2022-04-30,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,29.0,14.8,83.5,17.1,1,0.615,0.6,0.022,1.085,2.947,0.222,0.503,0.53,0.613,0.589,0.021,0.354,2.038,1.388,3.283,0.22,0.5,0.543,0.095,0.614,0.594,0.022,3.149,0.221,0.501,0.538,24.19,0.57,0.465,140.5,0.549333333,0.552,0.551,17.835,17.777,17.806
2022-05-07,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,30.5,14.6,84.0,0.2,1,0.643,0.627,0.044,1.164,3.636,0.22,0.497,0.572,0.614,0.611,0.064,0.368,2.187,1.4,3.496,0.252,0.531,0.562,0.089,0.626,0.618,0.055,3.552,0.239,0.518,0.566,25.65,0.007,0.471,147.0,0.570666667,0.569,0.57,19.6115,18.727,19.093
2022-05-14,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,28.3,15.0,82.3,1.0,1,0.618,0.587,0.103,1.165,3.342,0.231,0.497,0.535,0.646,0.592,0.087,0.342,2.1,1.138,3.739,0.254,0.494,0.605,0.102,0.635,0.59,0.094,3.581,0.245,0.495,0.577,23.3,0.033,0.459,153.5,0.55,0.581666667,0.569,17.4894,18.2818,17.9705
2022-05-21,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,27.2,14.2,74.9,10.1,1,0.656,0.637,0.043,1.079,3.667,0.235,0.495,0.593,0.672,0.621,0.051,0.342,2.421,1.258,3.131,0.236,0.552,0.624,0.105,0.666,0.627,0.047,3.345,0.235,0.53,0.611,20.4,0.358,0.424,160.0,0.581333333,0.616,0.602333333,17.8432,18.2784,18.1152
2022-05-28,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,25.8,17.1,77.6,0.1,1,0.637,0.616,0.08,1.063,3.642,0.212,0.525,0.609,0.605,0.608,0.089,0.328,2.3,1.214,3.414,0.222,0.525,0.561,0.106,0.617,0.611,0.085,3.506,0.218,0.525,0.58,20.03,0.005,0.439,166.5,0.590333333,0.563666667,0.574,16.4346,15.609,15.9186
2022-06-04,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,28.0,15.4,81.1,1.9,1,0.686,0.684,0.044,1.245,3.393,0.22,0.519,0.571,0.686,0.684,0.069,0.367,2.279,1.51,3.067,0.256,0.582,0.601,0.139,0.686,0.684,0.058,3.198,0.241,0.556,0.589,22.7,0.064,0.455,173.0,0.592,0.623,0.610333333,19.208,19.208,19.208
2022-06-11,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,27.9,17.7,79.7,3.9,1,0.668,0.64,0.083,1.066,3.491,0.229,0.549,0.609,0.688,0.635,0.079,0.341,2.237,1.445,3.816,0.247,0.586,0.66,0.128,0.68,0.637,0.08,3.686,0.24,0.571,0.64,22.25,0.134,0.456,179.5,0.608666667,0.644666667,0.630333333,18.6372,19.1952,18.972
2022-06-18,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,27.3,14.8,80.0,1.3,1,0.705,0.7,0.051,1.187,3.225,0.271,0.568,0.637,0.721,0.705,0.054,0.357,2.46,1.703,4.055,0.28,0.578,0.644,0.128,0.715,0.703,0.053,3.723,0.276,0.574,0.641,21.84,0.045,0.446,186.0,0.636666667,0.647666667,0.643333333,19.2465,19.6833,19.5195
2022-06-25,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,29.4,16.4,79.1,1.0,1,0.68,0.64,0.077,1.15,3.112,0.225,0.534,0.654,0.681,0.625,0.073,0.353,1.778,1.373,3.549,0.257,0.605,0.649,0.116,0.68,0.631,0.075,3.374,0.244,0.576,0.651,23.22,0.034,0.454,192.5,0.622666667,0.645,0.635666667,19.992,20.0214,19.992
2022-07-02,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,31.3,16.4,73.2,5.7,1,0.718,0.695,0.045,1.172,3.433,0.244,0.578,0.64,0.746,0.668,0.061,0.406,1.981,1.395,3.696,0.265,0.592,0.664,0.163,0.735,0.679,0.054,3.591,0.257,0.587,0.655,22.89,0.177,0.436,199.0,0.645333333,0.667333333,0.659,22.4734,23.3498,23.0055
2022-07-09,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,29.5,15.7,73.3,2.8,1,0.7,0.692,0.019,1.217,3.477,0.241,0.581,0.641,0.699,0.703,0.003,0.377,2.458,1.353,3.739,0.249,0.596,0.639,0.117,0.699,0.699,0.01,3.634,0.246,0.59,0.64,21.66,0.091,0.429,205.5,0.640666667,0.644666667,0.643,20.65,20.6205,20.6205
2022-07-16,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,27.0,16.7,77.8,1.3,1,0.687,0.641,0.104,1.166,3.488,0.235,0.561,0.617,0.708,0.642,0.106,0.361,2.339,1.454,3.256,0.251,0.599,0.655,0.124,0.7,0.641,0.105,3.349,0.245,0.584,0.64,20.99,0.047,0.442,212.0,0.621666667,0.654,0.641333333,18.549,19.116,18.9
2022-07-23,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,28.1,15.3,77.2,2.0,1,0.741,0.733,0.062,1.271,4.151,0.269,0.537,0.635,0.736,0.733,0.069,0.363,2.421,1.323,3.609,0.261,0.581,0.65,0.119,0.738,0.733,0.066,3.826,0.264,0.563,0.644,21.67,0.069,0.439,218.5,0.637666667,0.655666667,0.648333333,20.8221,20.6816,20.7378
2022-07-30,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,26.4,20.1,75.8,0.6,1,0.729,0.705,0.055,1.388,3.593,0.266,0.562,0.655,0.76,0.699,0.082,0.4,2.3,1.555,4.072,0.286,0.584,0.685,0.136,0.748,0.701,0.07,3.88,0.278,0.575,0.673,19.98,0.022,0.443,225.0,0.648666667,0.676333333,0.665333333,19.2456,20.064,19.7472
2022-08-06,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,27.8,18.2,71.9,3.3,1,0.741,0.742,0.082,1.23,3.632,0.243,0.606,0.672,0.75,0.73,0.065,0.404,2.392,1.552,3.808,0.278,0.639,0.68,0.139,0.747,0.735,0.073,3.737,0.264,0.626,0.677,19.95,0.115,0.425,231.5,0.673,0.689666667,0.683333333,20.5998,20.85,20.7666
2022-08-13,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,26.3,16.8,68.4,3.2,1,0.761,0.743,0.043,1.324,3.76,0.277,0.564,0.691,0.779,0.744,0.059,0.382,2.717,1.824,3.79,0.285,0.675,0.748,0.137,0.772,0.743,0.052,3.778,0.281,0.631,0.725,18.02,0.118,0.403,238.0,0.672,0.734,0.709333333,20.0143,20.4877,20.3036
2022-08-20,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,26.4,17.0,68.3,0.7,1,0.739,0.728,0.098,1.112,3.944,0.257,0.59,0.682,0.727,0.732,0.1,0.384,2.431,1.796,3.577,0.265,0.581,0.658,0.122,0.732,0.73,0.099,3.724,0.262,0.585,0.668,18.05,0.024,0.404,244.5,0.670333333,0.655333333,0.661666667,19.5096,19.1928,19.3248
2022-08-27,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,28.3,18.4,72.5,0.6,1,0.737,0.726,0.006,1.314,4.182,0.252,0.578,0.671,0.747,0.732,0.036,0.378,2.237,1.241,3.61,0.276,0.658,0.677,0.14,0.743,0.729,0.022,3.839,0.267,0.626,0.675,20.55,0.022,0.43,251.0,0.662,0.694,0.681333333,20.8571,21.1401,21.0269
2022-09-03,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,27.0,19.4,69.6,1.1,1,0.764,0.776,0.07,1.182,3.886,0.278,0.636,0.7,0.785,0.788,0.09,0.408,2.408,1.507,4.199,0.284,0.653,0.714,0.147,0.776,0.783,0.081,4.074,0.282,0.646,0.708,18.83,0.038,0.418,257.5,0.7,0.717333333,0.71,20.628,21.195,20.952
2022-09-10,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,25.8,18.9,70.8,1.9,1,0.728,0.708,0.06,1.202,4.093,0.254,0.591,0.67,0.736,0.704,0.063,0.399,2.178,1.456,3.585,0.282,0.565,0.666,0.14,0.733,0.706,0.062,3.788,0.271,0.575,0.668,18.26,0.072,0.417,264.0,0.663,0.655666667,0.658666667,18.7824,18.9888,18.9114
2022-09-17,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,25.4,17.7,67.4,14.6,1,0.731,0.683,0.092,1.145,3.321,0.263,0.592,0.644,0.717,0.692,0.102,0.369,2.73,1.256,3.326,0.26,0.587,0.664,0.126,0.723,0.688,0.098,3.324,0.261,0.589,0.656,17.12,0.554,0.399,270.5,0.655666667,0.656,0.656,18.5674,18.2118,18.3642
2022-09-24,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,24.0,20.7,70.1,0.5,1,0.764,0.755,0.065,1.257,3.845,0.274,0.651,0.693,0.78,0.754,0.086,0.379,2.796,1.474,3.526,0.29,0.623,0.734,0.135,0.774,0.754,0.077,3.654,0.283,0.634,0.718,16.79,0.021,0.414,277.0,0.702666667,0.712333333,0.708666667,18.336,18.72,18.576
2022-10-01,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,21.9,16.7,65.4,1.6,1,0.7,0.696,0.077,1.194,3.259,0.244,0.56,0.601,0.727,0.705,0.074,0.375,2.415,1.121,3.675,0.264,0.571,0.664,0.159,0.716,0.701,0.075,3.509,0.256,0.567,0.638,14.35,0.071,0.378,283.5,0.620333333,0.654,0.640333333,15.33,15.9213,15.6804
2022-10-08,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,grand_growth,2,23.5,17.7,68.3,3.1,1,0.759,0.745,0.037,1.263,3.816,0.275,0.626,0.709,0.756,0.758,0.04,0.426,2.269,1.716,3.866,0.275,0.608,0.689,0.145,0.757,0.753,0.038,3.846,0.275,0.615,0.697,16.07,0.125,0.397,290.0,0.698,0.684333333,0.689666667,17.8365,17.766,17.7895
2022-10-15,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,23.6,21.1,67.2,3.2,1,0.781,0.768,0.075,1.143,3.675,0.257,0.637,0.719,0.779,0.783,0.056,0.363,2.479,1.636,4.301,0.284,0.665,0.715,0.142,0.779,0.777,0.065,4.05,0.273,0.654,0.717,15.83,0.129,0.403,296.5,0.712333333,0.719666667,0.716666667,18.4316,18.3844,18.3844
2022-10-22,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,25.1,18.2,69.1,2.5,1,0.76,0.736,0.067,1.247,3.778,0.26,0.588,0.683,0.783,0.741,0.061,0.409,1.869,1.655,3.456,0.287,0.614,0.694,0.163,0.773,0.739,0.064,3.585,0.276,0.603,0.69,17.33,0.096,0.406,303.0,0.677,0.697,0.688666667,19.076,19.6533,19.4023
2022-10-29,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,24.8,18.4,66.7,0.2,1,0.792,0.757,0.08,1.194,3.312,0.273,0.678,0.734,0.791,0.754,0.075,0.438,2.526,1.556,4.173,0.295,0.642,0.724,0.147,0.791,0.755,0.078,3.829,0.286,0.657,0.728,16.53,0.007,0.396,309.5,0.734666667,0.719,0.725333333,19.6416,19.6168,19.6168
2022-11-05,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,24.1,16.3,68.2,4.7,1,0.797,0.752,0.087,1.265,4.091,0.25,0.7,0.713,0.818,0.741,0.096,0.385,2.357,1.805,3.943,0.304,0.693,0.763,0.157,0.81,0.745,0.092,4.002,0.283,0.696,0.743,16.42,0.186,0.394,316.0,0.736666667,0.758,0.749666667,19.2077,19.7138,19.521
2022-11-12,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,26.2,18.6,67.2,10.9,1,0.822,0.825,0.091,1.166,4.345,0.276,0.667,0.721,0.826,0.828,0.096,0.418,2.814,1.594,3.952,0.313,0.707,0.736,0.165,0.825,0.827,0.094,4.109,0.299,0.691,0.73,17.62,0.4,0.403,322.5,0.736666667,0.756333333,0.748666667,21.5364,21.6412,21.615
2022-11-19,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,23.1,19.6,68.9,4.7,1,0.783,0.746,0.107,1.159,3.46,0.253,0.607,0.672,0.813,0.757,0.097,0.449,2.672,1.464,3.351,0.319,0.632,0.715,0.169,0.801,0.753,0.102,3.395,0.292,0.622,0.698,15.92,0.195,0.404,329.0,0.687333333,0.72,0.707,18.0873,18.7803,18.5031
2022-11-26,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,25.3,18.9,67.8,13.4,1,0.795,0.776,0.026,1.228,3.491,0.267,0.641,0.75,0.814,0.76,0.011,0.424,2.28,1.48,4.116,0.293,0.67,0.722,0.144,0.806,0.766,0.018,3.866,0.283,0.658,0.733,17.13,0.511,0.404,335.5,0.728666667,0.735333333,0.732333333,20.1135,20.5942,20.3918
2022-12-03,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,20.9,18.3,75.7,14.8,1,0.777,0.755,0.083,1.265,3.757,0.272,0.6,0.683,0.761,0.773,0.065,0.372,2.269,1.595,3.756,0.291,0.607,0.705,0.128,0.767,0.766,0.073,3.756,0.284,0.604,0.696,15.84,0.676,0.42,342.0,0.686666667,0.691,0.689,16.2393,15.9049,16.0303
2022-12-10,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,21.6,17.5,70.4,20.9,1,0.78,0.763,0.121,1.401,3.582,0.259,0.621,0.766,0.773,0.779,0.146,0.379,2.541,1.717,3.769,0.284,0.619,0.691,0.133,0.776,0.773,0.135,3.694,0.274,0.62,0.721,15.2,0.926,0.399,348.5,0.722333333,0.694333333,0.705666667,16.848,16.6968,16.7616
2022-12-17,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,23.2,14.9,69.6,24.3,1,0.832,0.829,0.039,1.295,4.247,0.279,0.715,0.759,0.826,0.829,0.047,0.411,2.599,1.388,4.055,0.294,0.675,0.742,0.145,0.828,0.829,0.043,4.132,0.288,0.691,0.749,16.17,1.002,0.393,355.0,0.768666667,0.747666667,0.756,19.3024,19.1632,19.2096
2022-12-24,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,24.7,18.3,69.9,4.9,1,0.854,0.841,0.129,1.315,3.993,0.296,0.687,0.765,0.87,0.851,0.118,0.398,2.177,1.646,3.86,0.305,0.723,0.85,0.167,0.864,0.847,0.123,3.913,0.301,0.709,0.816,17.24,0.192,0.408,361.5,0.768666667,0.814333333,0.796333333,21.0938,21.489,21.3408
2022-12-31,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,23.6,16.2,73.2,22.9,1,0.832,0.805,0.112,1.193,3.887,0.291,0.698,0.76,0.836,0.813,0.133,0.424,2.505,1.339,3.775,0.307,0.67,0.765,0.16,0.834,0.81,0.123,3.82,0.301,0.681,0.763,17.3,0.928,0.412,368.0,0.763333333,0.757,0.759333333,19.6352,19.7296,19.6824
2023-01-07,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,23.3,15.6,66.8,18.9,1,0.816,0.81,0.134,1.35,3.775,0.3,0.657,0.726,0.812,0.807,0.128,0.407,2.506,1.512,4.082,0.31,0.689,0.717,0.115,0.813,0.808,0.131,3.959,0.306,0.676,0.721,15.57,0.779,0.384,374.3,0.733,0.739333333,0.736666667,19.0128,18.9196,18.9429
2023-01-14,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,21.9,15.2,79.1,12.5,1,0.791,0.737,0.059,1.264,3.334,0.279,0.633,0.727,0.798,0.728,0.077,0.396,2.452,1.358,3.824,0.288,0.65,0.768,0.129,0.795,0.732,0.068,3.628,0.284,0.643,0.752,17.34,0.544,0.428,378.3,0.717,0.738666667,0.73,17.3229,17.4762,17.4105
2023-01-21,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,maturation,2,25.5,16.6,78.9,6.5,1,0.864,0.841,0.128,1.242,4.182,0.305,0.73,0.816,0.869,0.834,0.135,0.411,2.946,1.59,4.042,0.323,0.679,0.78,0.185,0.867,0.837,0.131,4.098,0.316,0.699,0.795,20.12,0.245,0.442,382.4,0.803333333,0.776,0.787,22.032,22.1595,22.1085
2023-01-28,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,ripening,2,22.6,15.3,76.3,9.2,1,0.86,0.834,0.026,1.408,3.853,0.298,0.728,0.788,0.872,0.855,0.016,0.444,2.558,1.612,4.523,0.327,0.728,0.823,0.162,0.867,0.847,0.021,4.255,0.315,0.728,0.809,17.29,0.391,0.419,385.9,0.792,0.807666667,0.801333333,19.436,19.7072,19.5942
2023-02-04,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,ripening,2,23.1,13.3,81.2,17.2,1,0.826,0.806,0.094,1.326,4.122,0.283,0.655,0.75,0.827,0.822,0.101,0.424,2.625,1.703,4.06,0.296,0.688,0.748,0.149,0.826,0.816,0.098,4.085,0.291,0.675,0.749,18.79,0.713,0.434,389.8,0.743666667,0.754333333,0.75,19.0806,19.1037,19.0806
2023-02-11,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,ripening,2,26.0,15.6,86.4,30.0,1,0.831,0.79,0.133,1.296,4.265,0.298,0.661,0.718,0.833,0.781,0.124,0.423,2.834,1.592,3.734,0.312,0.713,0.754,0.156,0.832,0.785,0.128,3.946,0.306,0.692,0.74,22.48,1.11,0.471,394.2,0.736666667,0.766666667,0.754666667,21.606,21.658,21.632
2023-02-18,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,ripening,2,23.7,16.7,75.2,6.6,1,0.824,0.804,0.115,1.228,3.929,0.298,0.617,0.698,0.807,0.816,0.107,0.453,2.355,1.534,4.344,0.314,0.713,0.766,0.167,0.814,0.811,0.11,4.178,0.308,0.675,0.739,17.82,0.266,0.422,397.1,0.713,0.762,0.742666667,19.5288,19.1259,19.2918
2023-02-25,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,ripening,2,25.7,14.6,82.8,9.7,1,0.802,0.809,0.035,1.226,3.589,0.262,0.639,0.719,0.829,0.815,0.02,0.447,2.74,1.617,3.966,0.299,0.671,0.785,0.186,0.818,0.813,0.027,3.815,0.284,0.658,0.758,21.29,0.363,0.452,400.0,0.72,0.761666667,0.744666667,20.6114,21.3053,21.0226
