date,farm_id,district,latitude,longitude,altitude,rotun,plant_age,total_stalk,height_stalk,stalk_diameter,stalk_weight,temperature,presipitasi,relative_humidity,light_intensity,ndvi_s2,gndvi_s2,ndwi_s2,rvi_s2,dvi_s2,evi_s2,savi_s2,wdrvi_s2,ndvi_l9,gndvi_l9,ndwi_l9,rvi_l9,dvi_l9,evi_l9,savi_l9,wdrvi_l9,ndvi_fusion,gndvi_fusion,ndwi_fusion,rvi_fusion,dvi_fusion,evi_fusion,savi_fusion,wdrvi_fusion,yield_tons_per_hectare,temperature_humidity_interaction,water_stress_index,vegetation_health
2023-05-15,FARM0003,A,-7.511029,112.008487,597,3,52,10148,317.9,2.87,15.79,31.0,0.2,87.7,13.1,0.7311,0.6638,0.7252,6.4373,0.5303,0.7515,0.6492,0.1257,0.7138,0.6657,0.7222,5.987,0.5164,0.6849,0.6331,0.0898,0.7224,0.6648,0.7237,6.2122,0.5234,0.7182,0.6412,0.1078,114.2,2718.7,0.2763,0.6936
2024-06-08,FARM0003,A,-7.511029,112.008487,597,4,48,10773,298.86,2.3,17.12,32.7,2.4,76.5,16.2,0.7191,0.7054,0.6041,6.1202,0.4995,0.6931,0.6272,0.1007,0.7274,0.7071,0.7222,6.3369,0.5222,0.6988,0.6431,0.1179,0.7233,0.7063,0.6631,6.2286,0.5108,0.696,0.6352,0.1093,113.85,2501.55,0.3369,0.7148000000000001
2021-02-24,FARM0004,A,-7.498031,112.008584,687,1,56,10476,377.29,3.02,32.61,29.3,31.9,84.1,14.9,0.7066,0.6596,0.6802,5.8173,0.4801,0.6805,0.6106,0.0756,0.7194,0.668,0.7058,6.1273,0.4852,0.6602,0.6197,0.1013,0.713,0.6638,0.693,5.9723,0.4827,0.6703,0.6152,0.0884,116.64,2464.13,0.3070000000000001,0.6883999999999999
2022-03-21,FARM0004,A,-7.498031,112.008584,687,2,48,10197,377.98,3.59,58.63,30.7,27.5,86.4,15.5,0.7194,0.7144,0.7333,6.1286,0.5439,0.7352,0.6496,0.1014,0.7796,0.6686,0.6658,8.0735,0.5062,0.7757,0.6606,0.2351,0.7495,0.6915,0.6996,7.1011,0.5251,0.7554,0.6551,0.1683,114.47,2652.48,0.3004,0.7205
2023-05-15,FARM0004,A,-7.498031,112.008584,687,3,52,10489,347.4,2.69,31.66,30.3,0.6,85.0,16.2,0.7414,0.6996,0.7245,6.7354,0.5535,0.824,0.6661,0.1479,0.7119,0.7053,0.6693,5.9423,0.5157,0.7254,0.6318,0.0861,0.7267,0.7024,0.6969,6.3389,0.5346,0.7747,0.6489,0.117,114.17,2575.5,0.3031,0.71455
2024-08-07,FARM0004,A,-7.498031,112.008584,687,4,56,10296,295.74,2.98,26.97,25.8,2.0,75.9,14.3,0.7054,0.6575,0.7287,5.7882,0.5272,0.7552,0.6339,0.0731,0.7815,0.6807,0.6338,8.1525,0.5171,0.7961,0.6677,0.2397,0.7434,0.6691,0.6812,6.9703,0.5221,0.7757,0.6508,0.1564,114.31,1958.22,0.3188,0.70625
2021-02-24,FARM0005,A,-7.515317,111.98572,273,1,56,11150,359.56,3.27,26.53,31.3,27.6,88.9,16.9,0.7432,0.7239,0.6884,6.7894,0.5503,0.8259,0.6655,0.1518,0.6914,0.7209,0.7069,5.4814,0.4762,0.658,0.6009,0.0459,0.7173,0.7224,0.6977,6.1354,0.5132,0.7419,0.6332,0.0989,113.25,2782.57,0.3023,0.7198500000000001
2022-03-21,FARM0005,A,-7.515317,111.98572,273,2,48,10631,363.04,3.0,29.26,35.0,0.2,89.4,13.2,0.7308,0.6462,0.691,6.4288,0.5489,0.7358,0.6581,0.125,0.7442,0.6867,0.7179,6.8189,0.5291,0.774,0.6554,0.1539,0.7375,0.6664,0.7044,6.6238,0.539,0.7549,0.6567,0.1395,115.59,3129.0,0.2956,0.7019500000000001
2023-05-15,FARM0005,A,-7.515317,111.98572,273,3,52,10804,335.29,2.59,28.2,29.8,2.1,77.1,15.3,0.6585,0.6111,0.6619,4.8562,0.4588,0.6519,0.5751,-0.0146,0.6955,0.6589,0.6204,5.5675,0.4684,0.6331,0.5987,0.0537,0.677,0.635,0.6412,5.2118,0.4636,0.6425,0.5869,0.0196,114.62,2297.58,0.3588,0.656
2024-07-08,FARM0005,A,-7.515317,111.98572,273,4,52,10572,301.65,2.5,20.67,26.7,5.8,81.4,13.3,0.741,0.7017,0.6342,6.7212,0.4883,0.7207,0.632,0.1468,0.7116,0.6485,0.6617,5.9346,0.4934,0.7002,0.6202,0.0855,0.7263,0.6751,0.6479,6.3279,0.4909,0.7105,0.6261,0.1162,116.18,2173.38,0.3521,0.7007
2021-01-25,FARM0006,A,-7.504886,111.989643,656,1,52,9448,388.46,2.97,40.32,32.2,13.2,81.2,16.5,0.7546,0.7157,0.6636,7.1502,0.525,0.8319,0.6586,0.177,0.7721,0.7295,0.7185,7.7741,0.5319,0.7478,0.6711,0.2172,0.7633,0.7226,0.691,7.4621,0.5284,0.7899,0.6648,0.1971,114.71,2614.64,0.3090000000000001,0.74295
2022-04-20,FARM0006,A,-7.504886,111.989643,656,2,56,10135,356.03,3.3,42.79,34.8,4.8,71.3,13.2,0.7413,0.7073,0.7176,6.7317,0.5382,0.7961,0.6585,0.1476,0.7408,0.6793,0.6665,6.716,0.5053,0.7285,0.6412,0.1465,0.7411,0.6933,0.692,6.7238,0.5218,0.7623,0.6498,0.147,113.53,2481.24,0.3080000000000001,0.7172000000000001
2023-05-15,FARM0006,A,-7.504886,111.989643,656,3,48,9826,359.26,3.29,32.05,28.8,2.6,80.7,14.4,0.7683,0.7033,0.7333,7.6336,0.5649,0.8241,0.686,0.2085,0.7156,0.6837,0.7094,6.0312,0.4906,0.6674,0.6207,0.0935,0.742,0.6935,0.7213,6.8324,0.5277,0.7457,0.6533,0.151,117.24,2324.16,0.2786999999999999,0.71775
2024-08-07,FARM0006,A,-7.504886,111.989643,656,4,56,9050,333.97,2.94,27.42,26.1,6.1,85.0,13.1,0.7469,0.6974,0.6632,6.9027,0.5558,0.765,0.6701,0.1599,0.7155,0.6374,0.6771,6.0311,0.4657,0.6491,0.607,0.0935,0.7312,0.6674,0.6702,6.4669,0.5108,0.7071,0.6386,0.1267,113.77,2218.5,0.3298,0.6993
2021-02-24,FARM0007,A,-7.506283,111.998959,593,1,56,10559,378.75,2.97,28.46,31.2,50.0,82.1,13.9,0.7415,0.6816,0.706,6.7373,0.4941,0.7327,0.6354,0.148,0.7616,0.6375,0.6839,7.3895,0.4916,0.7178,0.6437,0.1929,0.7516,0.6595,0.6949,7.0634,0.4928,0.7253,0.6396,0.1704,113.22,2561.52,0.3051,0.70555
2022-04-20,FARM0007,A,-7.506283,111.998959,593,2,52,9335,388.09,3.16,33.13,33.2,1.1,85.4,13.7,0.7226,0.6671,0.7152,6.2089,0.5054,0.7199,0.632,0.1078,0.7611,0.6829,0.7058,7.3709,0.5195,0.7398,0.6589,0.1917,0.7418,0.675,0.7105,6.7899,0.5124,0.7298,0.6455,0.1498,115.15,2835.280000000001,0.2895,0.7084
2023-05-15,FARM0007,A,-7.506283,111.998959,593,3,48,9572,306.58,2.6,18.89,33.2,3.0,79.4,14.6,0.6754,0.639,0.7163,5.162,0.4877,0.7106,0.5986,0.0159,0.7016,0.7262,0.6683,5.7013,0.5056,0.6504,0.6213,0.0655,0.6885,0.6826,0.6923,5.4317,0.4966,0.6805,0.6099,0.0407,113.34,2636.08,0.3077,0.68555
2024-06-08,FARM0007,A,-7.506283,111.998959,593,4,48,9726,282.07,2.48,19.8,29.2,5.6,78.8,14.5,0.7401,0.6518,0.7208,6.6946,0.5242,0.7799,0.6508,0.1449,0.758,0.6946,0.6901,7.2637,0.5346,0.8209,0.6653,0.1846,0.749,0.6732,0.7054,6.9791,0.5294,0.8004,0.658,0.1647,113.24,2300.96,0.2946,0.7111000000000001
2021-01-25,FARM0008,A,-7.482407,112.005108,753,1,52,11292,394.45,3.42,50.0,30.0,23.2,72.1,15.1,0.7217,0.6608,0.6754,6.1852,0.5096,0.7452,0.6337,0.106,0.7441,0.6593,0.6806,6.8162,0.5023,0.696,0.6412,0.1537,0.7329,0.66,0.678,6.5007,0.5059,0.7206,0.6375,0.1298,115.46,2163.0,0.322,0.69645
2022-04-20,FARM0008,A,-7.482407,112.005108,753,2,56,11098,380.44,2.9,39.67,33.4,0.1,87.4,16.7,0.7062,0.6413,0.7247,5.8083,0.5186,0.7454,0.6303,0.0748,0.7275,0.6964,0.6306,6.3396,0.5034,0.7413,0.6335,0.1181,0.7169,0.6689,0.6776,6.0739,0.511,0.7433,0.6319,0.0965,116.96,2919.16,0.3224,0.6929000000000001
2023-07-14,FARM0008,A,-7.482407,112.005108,753,3,56,10417,307.73,2.67,18.04,26.2,4.5,74.1,16.2,0.7634,0.6879,0.6268,7.4538,0.5458,0.8699,0.6739,0.197,0.7359,0.6446,0.7087,6.5734,0.4973,0.7358,0.6345,0.136,0.7497,0.6662,0.6678,7.0136,0.5216,0.8028,0.6542,0.1665,115.36,1941.42,0.3322000000000001,0.7079500000000001
2024-09-06,FARM0008,A,-7.482407,112.005108,753,4,52,10911,335.86,2.78,17.64,21.3,1.8,71.7,17.0,0.7132,0.7159,0.7223,5.9743,0.5164,0.7597,0.6328,0.0888,0.776,0.7279,0.715,7.9278,0.5418,0.7605,0.6783,0.2265,0.7446,0.7219,0.7186,6.951,0.5291,0.7601,0.6555,0.1576,115.3,1527.21,0.2814,0.73325
2021-01-25,FARM0009,A,-7.517372,112.011021,374,1,52,11254,351.75,2.97,38.88,29.5,0.4,73.1,15.9,0.7738,0.7076,0.667,7.8424,0.5548,0.8181,0.6838,0.2213,0.7593,0.6325,0.6482,7.3077,0.4678,0.7102,0.6287,0.1875,0.7665,0.6701,0.6576,7.5751,0.5113,0.7641,0.6563,0.2044,113.82,2156.45,0.3424,0.7182999999999999
2022-03-21,FARM0009,A,-7.517372,112.011021,374,2,52,11103,376.06,2.93,24.6,30.4,3.8,70.5,13.7,0.7329,0.6448,0.7161,6.4869,0.5314,0.805,0.6507,0.1294,0.7383,0.6656,0.6654,6.6435,0.4808,0.7001,0.6265,0.1411,0.7356,0.6552,0.6908,6.5652,0.5061,0.7525,0.6386,0.1353,114.58,2143.2,0.3092,0.6954
2023-05-15,FARM0009,A,-7.517372,112.011021,374,3,52,10480,314.23,3.25,27.88,33.4,1.8,70.4,14.1,0.7112,0.6996,0.6369,5.9253,0.5188,0.7012,0.633,0.0847,0.744,0.7297,0.7222,6.8111,0.529,0.7327,0.6552,0.1533,0.7276,0.7147,0.6796,6.3682,0.5239,0.7169,0.6441,0.119,115.25,2351.36,0.3204,0.72115
2024-06-08,FARM0009,A,-7.517372,112.011021,374,4,48,10357,316.82,2.18,21.27,30.9,0.6,88.3,14.7,0.7158,0.7131,0.6441,6.0375,0.5076,0.7048,0.6297,0.094,0.707,0.692,0.6915,5.825,0.4542,0.658,0.5963,0.0762,0.7114,0.7025,0.6678,5.9312,0.4809,0.6814,0.613,0.0851,114.34,2728.47,0.3322000000000001,0.70695
2021-01-25,FARM0010,A,-7.491238,111.991885,426,1,52,9165,347.74,3.29,51.4,30.8,10.6,76.9,14.4,0.6992,0.6629,0.7188,5.6497,0.5031,0.7058,0.6188,0.061,0.7731,0.6195,0.6913,7.8149,0.4777,0.7163,0.641,0.2197,0.7362,0.6412,0.705,6.7323,0.4904,0.711,0.6299,0.1403,117.13,2368.52,0.295,0.6887
2022-02-19,FARM0010,A,-7.491238,111.991885,426,2,48,9228,351.23,3.01,41.29,32.6,50.0,88.1,15.6,0.7725,0.669,0.6813,7.7905,0.5573,0.7976,0.6844,0.2182,0.741,0.7011,0.7222,6.7222,0.5278,0.7318,0.6531,0.1469,0.7567,0.6851,0.7018,7.2563,0.5425,0.7647,0.6687,0.1825,116.06,2872.06,0.2982,0.7209000000000001
2023-05-15,FARM0010,A,-7.491238,111.991885,426,3,56,9388,295.79,3.36,23.2,32.5,1.5,81.2,14.9,0.7305,0.6935,0.6882,6.4223,0.5488,0.7659,0.6579,0.1245,0.7427,0.6837,0.707,6.7733,0.5285,0.7757,0.6543,0.1506,0.7366,0.6886,0.6976,6.5978,0.5386,0.7708,0.6561,0.1376,114.62,2639.0,0.3024,0.7126
2024-08-07,FARM0010,A,-7.491238,111.991885,426,4,56,9696,316.15,2.59,22.0,22.5,0.1,79.6,15.3,0.7232,0.7042,0.6733,6.2249,0.5012,0.7277,0.6302,0.1091,0.7947,0.6989,0.6508,8.7437,0.5431,0.8144,0.6884,0.2724,0.759,0.7015,0.6621,7.4843,0.5222,0.771,0.6593,0.1908,115.99,1791.0,0.3379,0.7302500000000001
2021-02-24,FARM0011,A,-7.496436,111.991091,784,1,56,9458,345.1,3.76,62.81,29.4,8.5,86.8,13.9,0.7692,0.729,0.7333,7.6639,0.5652,0.8324,0.6866,0.2104,0.715,0.6711,0.7222,6.0166,0.517,0.7194,0.634,0.0923,0.7421,0.7,0.7278,6.8402,0.5411,0.7759,0.6603,0.1513,115.12,2551.92,0.2722,0.72105
2022-05-20,FARM0011,A,-7.496436,111.991091,784,2,56,10707,339.32,3.61,43.41,33.7,6.5,79.1,14.6,0.7155,0.7088,0.7132,6.0292,0.4982,0.7665,0.6247,0.0933,0.6846,0.655,0.7028,5.3411,0.4656,0.6282,0.5918,0.033,0.7,0.6819,0.708,5.6852,0.4819,0.6973,0.6083,0.0632,112.72,2665.67,0.292,0.69095
2023-08-13,FARM0011,A,-7.496436,111.991091,784,3,56,10189,307.2,2.74,17.32,25.2,5.7,77.0,15.7,0.7471,0.6452,0.6649,6.9096,0.5359,0.8289,0.6604,0.1603,0.7111,0.6795,0.6783,5.9221,0.5153,0.732,0.6311,0.0844,0.7291,0.6623,0.6716,6.4159,0.5256,0.7805,0.6458,0.1224,116.16,1940.4,0.3284,0.6957
2024-11-05,FARM0011,A,-7.496436,111.991091,784,4,56,8918,338.02,2.45,14.53,25.9,29.4,80.1,13.0,0.7024,0.6226,0.7138,5.7195,0.494,0.7224,0.6158,0.0671,0.7364,0.6655,0.6607,6.5874,0.5118,0.6996,0.6424,0.137,0.7194,0.644,0.6872,6.1535,0.5029,0.711,0.6291,0.1021,115.19,2074.59,0.3128,0.6817
2021-01-25,FARM0012,A,-7.48148,111.993675,771,1,52,10681,368.53,2.63,22.5,32.9,50.0,85.0,13.5,0.7772,0.7298,0.6995,7.9748,0.5648,0.8386,0.6906,0.2293,0.7275,0.7025,0.6306,6.3396,0.5197,0.7063,0.6419,0.1181,0.7523,0.7161,0.665,7.1572,0.5423,0.7725,0.6663,0.1737,113.45,2796.5,0.335,0.7342
2022-04-20,FARM0012,A,-7.48148,111.993675,771,2,56,9927,355.72,2.51,24.44,32.3,9.5,78.4,15.6,0.7404,0.6279,0.621,6.703,0.5188,0.7681,0.6481,0.1455,0.7552,0.7211,0.6983,7.1697,0.4845,0.7629,0.6366,0.1783,0.7478,0.6745,0.6596,6.9363,0.5016,0.7655,0.6424,0.1619,116.68,2532.32,0.3404,0.71115
2023-07-14,FARM0012,A,-7.48148,111.993675,771,3,56,10011,328.47,2.96,36.54,24.1,8.4,82.3,16.2,0.759,0.7096,0.6976,7.2988,0.5335,0.8351,0.6652,0.1869,0.724,0.7163,0.697,6.2461,0.4704,0.7054,0.6137,0.1108,0.7415,0.713,0.6973,6.7725,0.5019,0.7702,0.6395,0.1489,114.79,1983.43,0.3027,0.72725
2024-08-07,FARM0012,A,-7.48148,111.993675,771,4,48,8998,324.42,2.95,37.12,26.3,4.6,72.9,13.4,0.7719,0.6803,0.715,7.7673,0.5464,0.8086,0.6785,0.2167,0.7031,0.7385,0.6483,5.737,0.5099,0.6916,0.6243,0.0686,0.7375,0.7094,0.6816,6.7521,0.5281,0.7501,0.6514,0.1427,113.08,1917.27,0.3184,0.72345
2021-01-25,FARM0013,A,-7.487019,111.994312,302,1,52,9335,344.48,2.72,26.78,30.3,20.4,87.4,15.9,0.7483,0.6611,0.6401,6.9461,0.5564,0.765,0.6712,0.1629,0.7055,0.6924,0.6954,5.7917,0.4921,0.6965,0.6164,0.0734,0.7269,0.6768,0.6678,6.3689,0.5242,0.7308,0.6438,0.1181,112.98,2648.22,0.3322000000000001,0.70185
2022-04-20,FARM0013,A,-7.487019,111.994312,302,2,56,10540,347.64,2.75,23.27,32.7,2.7,84.4,13.9,0.6905,0.6752,0.6718,5.4626,0.531,0.6829,0.6277,0.0442,0.7697,0.6902,0.6142,7.6829,0.476,0.7577,0.6384,0.2115,0.7301,0.6827,0.643,6.5727,0.5035,0.7203,0.633,0.1279,116.04,2759.880000000001,0.357,0.7063999999999999
2023-05-15,FARM0013,A,-7.487019,111.994312,302,3,48,8816,327.3,2.72,17.77,33.0,2.2,87.5,16.6,0.741,0.6638,0.7192,6.7218,0.5211,0.8254,0.6496,0.1469,0.7269,0.6693,0.6675,6.3225,0.507,0.6873,0.6351,0.1168,0.7339,0.6666,0.6933,6.5221,0.5141,0.7564,0.6424,0.1318,114.96,2887.5,0.3067,0.70025
2024-07-08,FARM0013,A,-7.487019,111.994312,302,4,52,10118,338.56,2.53,22.28,25.9,3.5,76.5,16.1,0.6615,0.663,0.7072,4.9084,0.4643,0.6215,0.5795,-0.0092,0.7197,0.6866,0.6952,6.1347,0.4662,0.7215,0.6093,0.1019,0.6906,0.6748,0.7012,5.5216,0.4652,0.6715,0.5944,0.0463,113.84,1981.35,0.2988,0.6827
2020-12-26,FARM0014,A,-7.495314,112.008271,775,1,48,10571,358.94,3.29,40.2,26.3,1.0,80.6,16.7,0.7423,0.6587,0.6979,6.7614,0.489,0.8161,0.633,0.1498,0.7836,0.7206,0.6222,8.2431,0.5191,0.8658,0.6698,0.2449,0.763,0.6896,0.6601,7.5022,0.5041,0.841,0.6514,0.1973,114.79,2119.78,0.3399,0.7263
2022-03-21,FARM0014,A,-7.495314,112.008271,775,2,56,10097,337.4,2.37,16.56,35.0,1.6,83.5,14.8,0.7637,0.6716,0.6329,7.4639,0.5629,0.8747,0.6825,0.1977,0.7425,0.6827,0.6939,6.7677,0.5184,0.7845,0.649,0.1502,0.7531,0.6771,0.6634,7.1158,0.5407,0.8296,0.6658,0.1739,112.84,2922.5,0.3366,0.7151000000000001
2023-04-15,FARM0014,A,-7.495314,112.008271,775,3,48,10270,343.57,3.08,34.52,33.5,1.3,87.3,17.0,0.7705,0.7052,0.6743,7.7164,0.5616,0.8035,0.6855,0.2136,0.7042,0.703,0.6485,5.7604,0.5095,0.7254,0.6246,0.0707,0.7374,0.7041,0.6614,6.7384,0.5356,0.7645,0.6551,0.1421,114.43,2924.55,0.3386,0.72075
2024-06-08,FARM0014,A,-7.495314,112.008271,775,4,52,10064,301.21,2.61,21.38,30.2,1.9,70.3,15.3,0.6947,0.6364,0.6653,5.5518,0.4811,0.6939,0.6052,0.0523,0.713,0.6609,0.7222,5.968,0.5161,0.733,0.6326,0.0883,0.7039,0.6487,0.6937,5.7599,0.4986,0.7135,0.6189,0.0703,113.39,2123.06,0.3063,0.6763
2021-02-24,FARM0015,A,-7.498935,111.989843,242,1,56,10369,322.46,2.92,33.79,34.7,7.1,72.0,14.9,0.734,0.6828,0.6699,6.5176,0.5043,0.7937,0.6372,0.1318,0.7163,0.656,0.702,6.0493,0.4767,0.671,0.6135,0.095,0.7251,0.6694,0.686,6.2834,0.4905,0.7323,0.6254,0.1134,115.83,2498.4,0.3139999999999999,0.6972499999999999
2022-04-20,FARM0015,A,-7.498935,111.989843,242,2,52,10790,352.13,2.81,26.13,33.0,0.1,82.7,16.8,0.6964,0.6463,0.7261,5.5881,0.5174,0.6879,0.6244,0.0555,0.7485,0.6589,0.7147,6.9538,0.5147,0.7956,0.6501,0.1634,0.7225,0.6526,0.7204,6.271,0.516,0.7417,0.6372,0.1095,113.79,2729.1,0.2796,0.68755
2023-05-15,FARM0015,A,-7.498935,111.989843,242,3,48,9562,351.17,3.18,37.07,30.1,6.7,79.5,15.1,0.7281,0.6867,0.6501,6.3557,0.4954,0.7194,0.6295,0.1194,0.7117,0.7193,0.6996,5.9371,0.4704,0.6514,0.6078,0.0857,0.7199,0.703,0.6748,6.1464,0.4829,0.6854,0.6186,0.1025,114.74,2392.95,0.3252,0.7114499999999999
2024-06-08,FARM0015,A,-7.498935,111.989843,242,4,48,10488,305.2,2.74,26.14,28.5,3.4,81.9,14.6,0.7323,0.659,0.6289,6.4719,0.513,0.7567,0.641,0.1283,0.7858,0.68,0.6896,8.3377,0.5342,0.7936,0.6792,0.2502,0.7591,0.6695,0.6592,7.4048,0.5236,0.7752,0.6601,0.1893,115.83,2334.15,0.3408,0.7142999999999999
2020-12-26,FARM0016,A,-7.510767,111.998274,541,1,48,10506,365.42,3.16,49.56,27.1,9.1,86.4,13.0,0.6684,0.669,0.7143,5.0322,0.4808,0.6482,0.5915,0.0032,0.795,0.6768,0.7222,8.7569,0.5492,0.8735,0.6918,0.2731,0.7317,0.6729,0.7183,6.8946,0.515,0.7608,0.6417,0.1382,113.88,2341.44,0.2817,0.7023
2022-03-21,FARM0016,A,-7.510767,111.998274,541,2,56,10732,344.63,3.36,23.93,30.4,45.6,81.1,14.2,0.7233,0.6619,0.6171,6.2285,0.5118,0.75,0.6357,0.1094,0.6863,0.6524,0.6271,5.3762,0.48,0.6313,0.6003,0.0363,0.7048,0.6572,0.6221,5.8024,0.4959,0.6907,0.618,0.0728,113.24,2465.44,0.3779,0.681
2023-05-15,FARM0016,A,-7.510767,111.998274,541,3,52,11166,342.66,3.3,39.78,29.7,3.9,76.9,16.9,0.6977,0.7152,0.6286,5.6165,0.5212,0.7478,0.6269,0.0581,0.724,0.66,0.6968,6.2462,0.4945,0.6811,0.627,0.1108,0.7109,0.6876,0.6627,5.9314,0.5078,0.7144,0.627,0.0844,114.39,2283.93,0.3373,0.6992499999999999
2024-06-08,FARM0016,A,-7.510767,111.998274,541,4,48,10488,310.44,2.48,15.96,28.6,6.3,70.0,13.1,0.739,0.6903,0.7261,6.6629,0.5357,0.7897,0.656,0.1426,0.7252,0.6473,0.6975,6.2783,0.4718,0.7113,0.6151,0.1133,0.7321,0.6688,0.7118,6.4706,0.5037,0.7505,0.6355,0.128,114.68,2002.0,0.2882,0.70045
2020-12-26,FARM0017,A,-7.513173,111.982985,355,1,48,10472,351.17,2.7,22.04,29.4,8.6,83.1,14.4,0.725,0.7065,0.617,6.2716,0.5233,0.745,0.6424,0.1128,0.7646,0.6821,0.6721,7.4962,0.4895,0.7951,0.644,0.1998,0.7448,0.6943,0.6446,6.8839,0.5064,0.77,0.6432,0.1563,115.55,2443.14,0.3554,0.71955
2022-01-20,FARM0017,A,-7.513173,111.982985,355,2,48,9201,359.97,2.49,14.42,29.7,5.1,73.0,13.5,0.7574,0.6751,0.6818,7.2432,0.5603,0.8588,0.6779,0.1832,0.7571,0.6572,0.7222,7.2349,0.5343,0.7404,0.6647,0.1827,0.7573,0.6662,0.702,7.2391,0.5473,0.7996,0.6713,0.1829,115.73,2168.1,0.298,0.71175
