state,variety,area_hectare,soil_type,soil_ph,soil_moisture,rainfall_mm,temperature_c,humidity_pct,growth_stage,historical_yield,yield
Andhra Pradesh,Co 86032,29600.0,Clay Loam,6.98,80.2,1400.0,31.4,65.7,Harvest,95.38,93.75
Andhra Pradesh,Co 86032,34500.0,Clay Loam,7.03,73.7,1400.0,31.4,64.4,Planting,93.75,97.88
Andhra Pradesh,Co 86032,44929.0,Clay Loam,7.12,71.5,1400.0,31.4,75.6,Germination,97.88,91.21
Andhra Pradesh,Co 86032,40539.0,Clay Loam,7.16,64.5,1400.0,31.4,68.1,Tillering,91.21,91.21
Andhra Pradesh,Co 86032,38789.0,Clay Loam,7.15,76.3,1400.0,31.4,68.1,Grand Growth,91.21,86.04
Andhra Pradesh,Co 86032,39436.0,Clay Loam,7.05,85.0,1400.0,31.4,68.0,Maturity,86.04,68.08
Andhra Pradesh,Co 86032,26845.0,Clay Loam,6.63,69.3,1400.0,31.4,74.2,Harvest,68.08,70.1
Andhra Pradesh,Co 86032,21928.0,Clay Loam,6.86,73.3,1400.0,31.4,68.2,Planting,70.1,85.07
Andhra Pradesh,Co 86032,22453.0,Clay Loam,6.87,66.3,1400.0,31.4,73.0,Germination,85.07,87.85
Andhra Pradesh,Co 86032,37965.0,Clay Loam,7.12,74.1,1400.0,31.4,67.1,Tillering,87.85,92.11
Andhra Pradesh,Co 86032,30000.0,Clay Loam,7.1,72.8,1400.0,31.4,69.8,Grand Growth,92.11,93.97
Andhra Pradesh,Co 86032,26916.0,Clay Loam,7.39,62.1,1400.0,31.4,69.6,Maturity,93.97,84.11
Andhra Pradesh,Co 86032,27193.0,Black Soil,7.56,65.0,1400.0,31.4,78.2,Harvest,84.11,83.15
Andhra Pradesh,Co 86032,27719.0,Clay Loam,6.43,70.2,1400.0,31.4,65.6,Planting,83.15,83.38
Andhra Pradesh,Co 86032,28405.0,Clay Loam,6.57,68.0,1400.0,31.4,71.8,Germination,83.38,90.73
Andhra Pradesh,Co 86032,28106.0,Clay Loam,6.71,81.0,1400.0,31.4,61.5,Tillering,90.73,88.64
Andhra Pradesh,Co 86032,28152.0,Clay Loam,6.64,66.5,1400.0,31.4,67.0,Grand Growth,88.64,91.04
Andhra Pradesh,Co 86032,26147.0,Clay Loam,7.07,57.7,1400.0,31.4,71.1,Maturity,91.04,79.05
Andhra Pradesh,Co 86032,15100.0,Clay Loam,6.75,68.7,1400.0,31.4,73.2,Maturity,83.38,79.29
Andhra Pradesh,Co 86032,16400.0,Clay Loam,7.05,64.6,1400.0,31.4,77.6,Harvest,79.29,76.52
Andhra Pradesh,Co 86032,15657.0,Clay Loam,6.53,63.9,1400.0,31.4,59.3,Planting,76.52,91.04
Andhra Pradesh,Co 86032,14772.0,Clay Loam,7.14,64.2,1400.0,31.4,68.6,Germination,91.04,88.93
Andhra Pradesh,Co 86032,14255.0,Clay Loam,6.47,70.1,1400.0,31.4,67.6,Tillering,88.93,89.98
Andhra Pradesh,Co 86032,15425.0,Clay Loam,7.06,80.5,1400.0,31.4,65.4,Grand Growth,89.98,82.31
Andhra Pradesh,Co 86032,16285.0,Clay Loam,6.92,64.9,1400.0,31.4,66.3,Maturity,82.31,85.83
Andhra Pradesh,Co 86032,15965.0,Clay Loam,6.83,72.6,1400.0,31.4,72.8,Harvest,85.83,84.99
Andhra Pradesh,Co 86032,18422.0,Clay Loam,7.49,67.1,1400.0,31.4,66.8,Planting,84.99,79.57
Andhra Pradesh,Co 86032,18911.0,Clay Loam,7.05,73.5,1400.0,31.4,69.3,Germination,79.57,89.04
Andhra Pradesh,Co 86032,17000.0,Clay Loam,7.17,71.1,1400.0,31.4,77.0,Tillering,89.04,87.53
Andhra Pradesh,Co 86032,13592.0,Clay Loam,7.16,79.9,1400.0,31.4,73.0,Grand Growth,87.53,85.28
Andhra Pradesh,Co 86032,10879.0,Clay Loam,7.03,75.8,1400.0,31.4,71.6,Maturity,85.28,93.54
Andhra Pradesh,Co 86032,13051.0,Clay Loam,7.03,63.8,1400.0,31.4,66.0,Harvest,93.54,83.25
Andhra Pradesh,Co 86032,12618.0,Clay Loam,6.78,59.7,1400.0,31.4,68.7,Planting,83.25,84.76
Andhra Pradesh,Co 86032,13909.0,Clay Loam,7.21,63.1,1400.0,31.4,77.1,Germination,84.76,79.9
Andhra Pradesh,Co 86032,13857.0,Clay Loam,6.89,62.7,1400.0,31.4,60.7,Tillering,79.9,84.1
Andhra Pradesh,Co 86032,12405.0,Clay Loam,7.27,68.5,1400.0,31.4,71.5,Grand Growth,84.1,85.16
Andhra Pradesh,Co 86032,1600.0,Clay Loam,7.37,78.7,1400.0,31.4,59.9,Grand Growth,63.22,68.5
Andhra Pradesh,Co 86032,2100.0,Clay Loam,7.05,70.4,1400.0,31.4,74.5,Maturity,68.5,71.57
Andhra Pradesh,Co 86032,2229.0,Clay Loam,7.11,63.8,1400.0,31.4,63.7,Harvest,71.57,82.0
Andhra Pradesh,Co 86032,1696.0,Clay Loam,7.12,85.0,1400.0,31.4,67.7,Planting,82.0,79.85
Andhra Pradesh,Co 86032,1700.0,Clay Loam,6.73,66.5,1400.0,31.4,67.8,Germination,79.85,81.81
Andhra Pradesh,Co 86032,1738.0,Clay Loam,7.18,75.4,1400.0,31.4,78.9,Tillering,81.81,66.13
Andhra Pradesh,Co 86032,1547.0,Clay Loam,6.62,75.9,1400.0,31.4,63.2,Grand Growth,66.13,71.47
Andhra Pradesh,Co 86032,1972.0,Clay Loam,7.12,68.9,1400.0,31.4,65.8,Maturity,71.47,76.41
Andhra Pradesh,Co 86032,1953.0,Clay Loam,7.17,64.0,1400.0,31.4,68.6,Harvest,76.41,71.06
Andhra Pradesh,Co 86032,1721.0,Clay Loam,6.81,77.1,1400.0,31.4,72.4,Planting,71.06,78.98
Andhra Pradesh,Co 86032,2000.0,Clay Loam,6.97,66.2,1400.0,31.4,66.8,Germination,78.98,58.5
Andhra Pradesh,Co 86032,762.0,Clay Loam,6.96,66.1,1400.0,31.4,75.1,Tillering,58.5,75.33
Andhra Pradesh,Co 86032,409.0,Black Soil,6.79,68.0,1400.0,31.4,74.6,Grand Growth,75.33,100.74
Andhra Pradesh,Co 86032,908.0,Clay Loam,7.42,74.0,1400.0,31.4,64.2,Maturity,100.74,85.28
Andhra Pradesh,Co 86032,967.0,Clay Loam,6.46,77.7,1400.0,31.4,67.2,Harvest,85.28,104.0
Andhra Pradesh,Co 86032,573.0,Clay Loam,6.36,72.2,1400.0,31.4,72.5,Planting,104.0,93.88
Andhra Pradesh,Co 86032,420.0,Clay Loam,6.59,65.7,1400.0,31.4,73.1,Germination,93.88,102.86
Andhra Pradesh,Co 86032,470.0,Clay Loam,6.21,75.9,1400.0,31.4,56.5,Tillering,102.86,98.09
Andhra Pradesh,Co 86032,200.0,Clay Loam,6.91,67.4,1400.0,31.4,71.2,Germination,102.91,96.5
Andhra Pradesh,Co 86032,400.0,Clay Loam,6.87,69.3,1400.0,31.4,71.7,Tillering,96.5,95.5
Andhra Pradesh,Co 86032,425.0,Clay Loam,7.31,81.9,1400.0,31.4,74.1,Grand Growth,95.5,96.1
Andhra Pradesh,Co 86032,356.0,Clay Loam,6.69,74.9,1400.0,31.4,68.7,Maturity,96.1,92.36
Andhra Pradesh,Co 86032,674.0,Clay Loam,6.66,56.3,1400.0,31.4,66.3,Harvest,92.36,93.11
Andhra Pradesh,Co 86032,1063.0,Clay Loam,6.75,71.2,1400.0,31.4,59.7,Planting,93.11,73.86
Andhra Pradesh,Co 86032,555.0,Clay Loam,6.65,61.1,1400.0,31.4,71.8,Germination,73.86,72.49
Andhra Pradesh,Co 86032,377.0,Alluvial Soil,7.65,58.1,1400.0,31.4,63.1,Tillering,72.49,89.03
Andhra Pradesh,Co 86032,922.0,Clay Loam,6.87,65.3,1400.0,31.4,76.9,Grand Growth,89.03,95.8
Andhra Pradesh,Co 86032,2056.0,Clay Loam,7.3,69.7,1400.0,31.4,65.8,Maturity,95.8,97.8
Andhra Pradesh,Co 86032,1000.0,Clay Loam,6.96,78.8,1400.0,31.4,66.9,Harvest,97.8,82.0
Andhra Pradesh,Co 86032,68.0,Sandy Loam,6.89,61.9,1400.0,31.4,73.9,Planting,82.0,75.0
Andhra Pradesh,Co 86032,140.0,Clay Loam,6.69,63.9,1400.0,31.4,66.1,Germination,75.0,87.63
Andhra Pradesh,Co 86032,835.0,Clay Loam,6.64,72.0,1400.0,31.4,71.0,Tillering,87.63,90.31
Andhra Pradesh,Co 86032,735.0,Clay Loam,5.93,65.9,1400.0,31.4,68.0,Grand Growth,90.31,81.39
Andhra Pradesh,Co 86032,785.0,Clay Loam,7.15,77.1,1400.0,31.4,71.4,Maturity,81.39,75.86
Andhra Pradesh,Co 86032,550.0,Clay Loam,7.29,75.9,1400.0,31.4,67.4,Harvest,75.86,64.4
Andhra Pradesh,Co 86032,373.0,Clay Loam,7.05,70.4,1400.0,31.4,69.6,Planting,64.4,82.09
Andhra Pradesh,Co 86032,963.0,Clay Loam,6.66,71.2,1400.0,31.4,69.9,Germination,8940.0,0.1
Andhra Pradesh,Co 86032,15400.0,Clay Loam,7.38,72.2,1400.0,31.4,68.0,Germination,105.49,106.1
Andhra Pradesh,Co 86032,17300.0,Clay Loam,6.85,71.8,1400.0,31.4,76.4,Tillering,106.1,107.09
Andhra Pradesh,Co 86032,15572.0,Clay Loam,7.06,66.1,1400.0,31.4,69.9,Grand Growth,107.09,117.24
Andhra Pradesh,Co 86032,12658.0,Clay Loam,7.01,71.9,1400.0,31.4,62.4,Maturity,117.24,109.22
Andhra Pradesh,Co 86032,10690.0,Clay Loam,6.32,78.0,1400.0,31.4,60.5,Harvest,109.22,104.04
Andhra Pradesh,Co 86032,15203.0,Clay Loam,7.06,75.0,1400.0,31.4,64.7,Planting,104.04,100.98
Andhra Pradesh,Co 86032,17524.0,Clay Loam,6.83,71.1,1400.0,31.4,69.7,Germination,100.98,75.44
Andhra Pradesh,Co 86032,18699.0,Clay Loam,6.76,67.6,1400.0,31.4,74.5,Tillering,75.44,100.77
Andhra Pradesh,Co 86032,21680.0,Clay Loam,6.88,72.1,1400.0,31.4,58.6,Grand Growth,100.77,83.49
Andhra Pradesh,Co 86032,21424.0,Black Soil,8.09,64.8,1400.0,31.4,69.5,Maturity,83.49,91.4
Andhra Pradesh,Co 86032,16000.0,Sandy Loam,6.89,52.3,1400.0,31.4,70.2,Harvest,91.4,103.44
Andhra Pradesh,Co 86032,11255.0,Alluvial Soil,7.16,55.5,1400.0,31.4,77.3,Planting,103.44,95.37
Andhra Pradesh,Co 86032,9494.0,Clay Loam,6.94,64.3,1400.0,31.4,71.3,Germination,95.37,87.36
Andhra Pradesh,Co 86032,16144.0,Clay Loam,6.8,63.8,1400.0,31.4,73.8,Tillering,87.36,94.63
Andhra Pradesh,Co 86032,16024.0,Clay Loam,6.84,61.3,1400.0,31.4,70.6,Grand Growth,94.63,101.21
Andhra Pradesh,Co 86032,15585.0,Clay Loam,6.92,64.8,1400.0,31.4,64.9,Maturity,101.21,88.16
Andhra Pradesh,Co 86032,16123.0,Clay Loam,6.57,61.2,1400.0,31.4,76.0,Harvest,88.16,89.8
Andhra Pradesh,Co 86032,16719.0,Clay Loam,7.34,81.5,1400.0,31.4,72.1,Planting,89.8,83.79
Andhra Pradesh,Co 86032,100.0,Clay Loam,7.29,62.2,1400.0,31.4,61.7,Planting,105.13,99.0
Andhra Pradesh,Co 86032,200.0,Clay Loam,6.9,72.0,1400.0,31.4,61.1,Germination,99.0,75.5
Andhra Pradesh,Co 86032,176.0,Clay Loam,6.85,61.4,1400.0,31.4,66.2,Tillering,75.5,88.75
Andhra Pradesh,Co 86032,47.0,Clay Loam,7.12,79.8,1400.0,31.4,70.0,Grand Growth,88.75,71.89
Andhra Pradesh,Co 86032,48.0,Clay Loam,6.88,79.7,1400.0,31.4,70.7,Maturity,71.89,86.98
Andhra Pradesh,Co 86032,80.0,Clay Loam,6.78,72.8,1400.0,31.4,71.8,Harvest,86.98,73.83
Andhra Pradesh,Co 86032,435.0,Clay Loam,6.67,73.6,1400.0,31.4,74.2,Planting,73.83,72.5
Andhra Pradesh,Co 86032,393.0,Clay Loam,7.11,74.3,1400.0,31.4,69.4,Germination,72.5,87.52
Andhra Pradesh,Co 86032,1817.0,Clay Loam,6.43,57.3,1400.0,31.4,79.6,Tillering,87.52,96.66
Andhra Pradesh,Co 86032,2246.0,Clay Loam,7.08,83.3,1400.0,31.4,64.2,Grand Growth,96.66,93.8
Andhra Pradesh,Co 86032,2000.0,Clay Loam,6.73,78.0,1400.0,31.4,66.5,Maturity,93.8,71.5
Andhra Pradesh,Co 86032,1055.0,Red Loam,6.53,64.0,1400.0,31.4,68.5,Harvest,71.5,89.84
Andhra Pradesh,Co 86032,1406.0,Clay Loam,6.97,72.5,1400.0,31.4,66.3,Planting,89.84,82.62
Andhra Pradesh,Co 86032,1738.0,Clay Loam,7.01,70.7,1400.0,31.4,67.2,Germination,82.62,97.19
Andhra Pradesh,Co 86032,985.0,Clay Loam,7.48,74.7,1400.0,31.4,67.9,Tillering,97.19,101.79
Andhra Pradesh,Co 86032,1468.0,Clay Loam,6.33,57.8,1400.0,31.4,64.3,Grand Growth,101.79,94.36
Andhra Pradesh,Co 86032,751.0,Clay Loam,6.8,69.1,1400.0,31.4,61.4,Maturity,94.36,107.08
Andhra Pradesh,Co 86032,714.0,Alluvial Soil,7.37,51.7,1400.0,31.4,69.8,Harvest,107.08,116.79
Andhra Pradesh,Co 86032,400.0,Red Loam,6.6,54.6,1400.0,31.4,64.9,Grand Growth,70.92,68.0
Andhra Pradesh,Co 86032,300.0,Clay Loam,7.17,66.1,1400.0,31.4,69.7,Maturity,68.0,75.33
Andhra Pradesh,Co 86032,343.0,Clay Loam,7.01,63.9,1400.0,31.4,73.5,Harvest,75.33,79.49
Andhra Pradesh,Co 86032,272.0,Clay Loam,7.32,66.9,1400.0,31.4,71.3,Planting,79.49,80.28
Andhra Pradesh,Co 86032,287.0,Clay Loam,7.13,63.1,1400.0,31.4,68.0,Germination,80.28,81.75
Andhra Pradesh,Co 86032,376.0,Clay Loam,6.78,74.8,1400.0,31.4,66.5,Tillering,81.75,65.0
Andhra Pradesh,Co 86032,289.0,Clay Loam,7.17,80.3,1400.0,31.4,71.4,Grand Growth,65.0,71.01
Andhra Pradesh,Co 86032,144.0,Clay Loam,6.6,70.0,1400.0,31.4,66.7,Maturity,71.01,74.42
Andhra Pradesh,Co 86032,89.0,Clay Loam,7.13,68.7,1400.0,31.4,72.6,Harvest,74.42,71.96
Andhra Pradesh,Co 86032,124.0,Clay Loam,6.95,67.8,1400.0,31.4,82.5,Planting,71.96,79.47
Andhra Pradesh,Co 86032,251.0,Clay Loam,6.91,73.0,1400.0,31.4,75.3,Germination,79.47,80.0
Andhra Pradesh,Co 86032,144.0,Clay Loam,6.72,71.5,1400.0,31.4,66.8,Tillering,80.0,74.0
Andhra Pradesh,Co 86032,331.0,Clay Loam,6.79,64.6,1400.0,31.4,64.0,Grand Growth,74.0,82.0
Andhra Pradesh,Co 86032,423.0,Clay Loam,7.29,72.7,1400.0,31.4,65.8,Maturity,82.0,81.0
Andhra Pradesh,Co 86032,661.0,Clay Loam,6.72,63.3,1400.0,31.4,68.2,Harvest,81.0,76.91
Andhra Pradesh,Co 86032,673.0,Alluvial Soil,6.63,58.0,1400.0,31.4,55.4,Planting,76.91,78.95
Andhra Pradesh,Co 86032,900.0,Clay Loam,7.12,70.9,1400.0,31.4,68.3,Germination,78.95,72.0
Andhra Pradesh,Co 86032,5700.0,Clay Loam,7.19,63.6,1400.0,31.4,65.8,Maturity,73.47,78.3
Andhra Pradesh,Co 86032,6100.0,Clay Loam,6.7,71.6,1400.0,31.4,69.1,Harvest,78.3,89.52
Andhra Pradesh,Co 86032,6562.0,Clay Loam,6.93,65.5,1400.0,31.4,74.9,Planting,89.52,93.67
Andhra Pradesh,Co 86032,7872.0,Clay Loam,6.65,57.5,1400.0,31.4,62.5,Germination,93.67,80.44
Andhra Pradesh,Co 86032,9842.0,Clay Loam,6.77,60.4,1400.0,31.4,58.7,Tillering,80.44,88.32
Andhra Pradesh,Co 86032,6986.0,Clay Loam,7.31,73.2,1400.0,31.4,61.0,Grand Growth,88.32,104.19
Andhra Pradesh,Co 86032,5694.0,Clay Loam,7.58,65.6,1400.0,31.4,79.0,Maturity,104.19,96.1
Andhra Pradesh,Co 86032,5521.0,Clay Loam,5.9,64.7,1400.0,31.4,67.8,Harvest,96.1,94.53
Andhra Pradesh,Co 86032,7790.0,Clay Loam,6.67,69.4,1400.0,31.4,73.9,Planting,94.53,93.97
Andhra Pradesh,Co 86032,10395.0,Clay Loam,7.17,75.1,1400.0,31.4,68.0,Germination,93.97,114.44
Andhra Pradesh,Co 86032,10000.0,Clay Loam,6.68,84.4,1400.0,31.4,66.2,Tillering,114.44,94.6
Andhra Pradesh,Co 86032,7825.0,Clay Loam,6.94,70.0,1400.0,31.4,74.1,Grand Growth,94.6,87.81
Andhra Pradesh,Co 86032,4832.0,Clay Loam,7.14,69.1,1400.0,31.4,72.4,Maturity,87.81,100.77
Andhra Pradesh,Co 86032,7172.0,Clay Loam,6.92,62.7,1400.0,31.4,67.9,Harvest,100.77,91.87
Andhra Pradesh,Co 86032,9061.0,Clay Loam,6.96,73.1,1400.0,31.4,65.7,Planting,91.87,107.76
Andhra Pradesh,Co 86032,9896.0,Clay Loam,7.03,74.2,1400.0,31.4,71.0,Germination,107.76,98.25
Andhra Pradesh,Co 86032,7835.0,Clay Loam,6.96,75.0,1400.0,31.4,73.0,Tillering,98.25,104.37
Andhra Pradesh,Co 86032,4002.0,Clay Loam,6.76,65.0,1400.0,31.4,75.2,Grand Growth,104.37,98.43
Andhra Pradesh,Co 86032,4900.0,Clay Loam,6.8,70.0,1400.0,31.4,71.7,Grand Growth,75.15,69.76
Andhra Pradesh,Co 86032,6900.0,Clay Loam,6.63,60.9,1400.0,31.4,69.0,Maturity,69.76,69.28
Andhra Pradesh,Co 86032,3956.0,Clay Loam,7.14,60.8,1400.0,31.4,74.6,Harvest,69.28,81.04
Andhra Pradesh,Co 86032,2733.0,Clay Loam,6.77,67.7,1400.0,31.4,64.1,Planting,81.04,75.8
Andhra Pradesh,Co 86032,6631.0,Alluvial Soil,6.61,69.0,1400.0,31.4,72.1,Germination,75.8,81.44
Andhra Pradesh,Co 86032,3150.0,Clay Loam,7.1,74.9,1400.0,31.4,70.6,Tillering,81.44,65.79
Andhra Pradesh,Co 86032,6835.0,Clay Loam,6.62,68.1,1400.0,31.4,71.9,Grand Growth,65.79,71.29
Andhra Pradesh,Co 86032,9065.0,Clay Loam,7.13,69.2,1400.0,31.4,66.2,Maturity,71.29,76.13
Andhra Pradesh,Co 86032,11004.0,Clay Loam,6.8,60.4,1400.0,31.4,70.3,Harvest,76.13,72.87
Andhra Pradesh,Co 86032,12171.0,Clay Loam,7.06,60.9,1400.0,31.4,64.7,Planting,72.87,76.09
Andhra Pradesh,Co 86032,11000.0,Clay Loam,7.06,81.5,1400.0,31.4,60.5,Germination,76.09,70.73
Andhra Pradesh,Co 86032,7139.0,Sandy Loam,6.68,56.3,1400.0,31.4,60.5,Tillering,70.73,76.77
Andhra Pradesh,Co 86032,4028.0,Clay Loam,6.98,71.2,1400.0,31.4,67.9,Grand Growth,76.77,71.41
Andhra Pradesh,Co 86032,3176.0,Clay Loam,6.61,61.0,1400.0,31.4,63.0,Maturity,71.41,56.96
Andhra Pradesh,Co 86032,7862.0,Clay Loam,7.12,64.2,1400.0,31.4,77.3,Harvest,56.96,69.82
Andhra Pradesh,Co 86032,6235.0,Clay Loam,6.88,65.4,1400.0,31.4,74.2,Planting,69.82,78.85
Andhra Pradesh,Co 86032,5682.0,Black Soil,7.37,70.1,1400.0,31.4,72.4,Germination,78.85,69.66
Andhra Pradesh,Co 86032,6378.0,Sandy Loam,6.27,62.6,1400.0,31.4,73.3,Tillering,69.66,68.31
Andhra Pradesh,Co 86032,40400.0,Clay Loam,7.28,69.9,1400.0,31.4,74.4,Tillering,45.0,40.52
Andhra Pradesh,Co 86032,42300.0,Clay Loam,6.79,67.3,1400.0,31.4,59.5,Grand Growth,40.52,43.6
Andhra Pradesh,Co 86032,42490.0,Clay Loam,6.67,67.8,1400.0,31.4,72.4,Maturity,43.6,55.36
Andhra Pradesh,Co 86032,42621.0,Clay Loam,6.63,52.7,1400.0,31.4,76.1,Harvest,55.36,60.77
Andhra Pradesh,Co 86032,36135.0,Clay Loam,6.54,63.9,1400.0,31.4,76.4,Planting,60.77,59.99
Andhra Pradesh,Co 86032,44085.0,Red Loam,7.46,51.6,1400.0,31.4,75.6,Germination,59.99,36.04
Andhra Pradesh,Co 86032,38962.0,Clay Loam,7.02,65.1,1400.0,31.4,59.7,Tillering,36.04,50.92
Andhra Pradesh,Co 86032,41522.0,Clay Loam,7.19,74.3,1400.0,31.4,70.6,Grand Growth,50.92,51.04
Andhra Pradesh,Co 86032,41535.0,Clay Loam,7.1,76.3,1400.0,31.4,69.5,Maturity,51.04,49.21
Andhra Pradesh,Co 86032,42589.0,Clay Loam,6.71,66.8,1400.0,31.4,80.8,Harvest,49.21,58.5
Andhra Pradesh,Co 86032,41000.0,Black Soil,7.24,78.5,1400.0,31.4,76.6,Planting,58.5,62.29
Andhra Pradesh,Co 86032,38998.0,Clay Loam,6.75,64.2,1400.0,31.4,67.8,Germination,62.29,56.45
Andhra Pradesh,Co 86032,40038.0,Clay Loam,6.62,68.8,1400.0,31.4,65.5,Tillering,56.45,46.1
Andhra Pradesh,Co 86032,38819.0,Clay Loam,6.97,73.1,1400.0,31.4,63.9,Grand Growth,46.1,57.23
Andhra Pradesh,Co 86032,37862.0,Sandy Loam,7.03,62.0,1400.0,31.4,61.6,Maturity,57.23,56.86
Andhra Pradesh,Co 86032,37322.0,Clay Loam,6.96,65.0,1400.0,31.4,68.6,Harvest,56.86,55.51
Andhra Pradesh,Co 86032,37603.0,Clay Loam,7.07,66.5,1400.0,31.4,66.8,Planting,55.51,55.94
Andhra Pradesh,Co 86032,37535.0,Sandy Loam,6.76,53.6,1400.0,31.4,76.4,Germination,55.94,48.33
Andhra Pradesh,Co 86032,10000.0,Clay Loam,7.0,64.8,1400.0,31.4,67.4,Germination,59.91,60.11
Andhra Pradesh,Co 86032,11600.0,Clay Loam,6.7,70.0,1400.0,31.4,65.1,Tillering,60.11,62.14
Andhra Pradesh,Co 86032,11231.0,Red Loam,6.44,56.6,1400.0,31.4,60.5,Grand Growth,62.14,70.63
Andhra Pradesh,Co 86032,10184.0,Red Loam,6.43,52.2,1400.0,31.4,68.4,Maturity,70.63,73.65
Andhra Pradesh,Co 86032,10614.0,Clay Loam,7.15,64.0,1400.0,31.4,64.5,Harvest,73.65,68.98
